Category: All categories

Week,Energy: (Portugal),Wi-Fi: (Portugal)
2012-01-01,74,32
2012-01-08,85,30
2012-01-15,84,29
2012-01-22,81,29
2012-01-29,70,29
2012-02-05,81,29
2012-02-12,73,31
2012-02-19,64,31
2012-02-26,77,29
2012-03-04,77,30
2012-03-11,84,33
2012-03-18,81,26
2012-03-25,64,36
2012-04-01,53,35
2012-04-08,68,32
2012-04-15,89,34
2012-04-22,75,30
2012-04-29,81,30
2012-05-06,90,32
2012-05-13,97,32
2012-05-20,95,26
2012-05-27,100,27
2012-06-03,83,31
2012-06-10,77,27
2012-06-17,67,29
2012-06-24,72,32
2012-07-01,67,26
2012-07-08,60,33
2012-07-15,51,38
2012-07-22,46,38
2012-07-29,42,36
2012-08-05,42,39
2012-08-12,41,46
2012-08-19,45,45
2012-08-26,46,43
2012-09-02,46,43
2012-09-09,58,33
2012-09-16,66,41
2012-09-23,56,37
2012-09-30,52,41
2012-10-07,58,40
2012-10-14,61,39
2012-10-21,62,37
2012-10-28,63,35
2012-11-04,67,37
2012-11-11,63,36
2012-11-18,66,41
2012-11-25,71,41
2012-12-02,69,41
2012-12-09,67,43
2012-12-16,56,39
2012-12-23,64,62
2012-12-30,72,42
