Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2011-01-02,69,51
2011-01-09,82,52
2011-01-16,81,55
2011-01-23,78,50
2011-01-30,74,53
2011-02-06,80,51
2011-02-13,72,58
2011-02-20,83,49
2011-02-27,79,56
2011-03-06,65,43
2011-03-13,89,56
2011-03-20,82,44
2011-03-27,75,46
2011-04-03,70,46
2011-04-10,51,46
2011-04-17,59,48
2011-04-24,73,41
2011-05-01,82,47
2011-05-08,82,41
2011-05-15,94,46
2011-05-22,100,50
2011-05-29,98,43
2011-06-05,91,48
2011-06-12,99,40
2011-06-19,80,38
2011-06-26,100,38
2011-07-03,88,39
2011-07-10,83,43
2011-07-17,92,50
2011-07-24,78,48
2011-07-31,57,51
2011-08-07,47,60
2011-08-14,45,56
2011-08-21,49,65
2011-08-28,43,58
2011-09-04,52,56
2011-09-11,48,56
2011-09-18,61,53
2011-09-25,62,57
2011-10-02,65,52
2011-10-09,63,54
2011-10-16,71,53
2011-10-23,64,55
2011-10-30,61,49
2011-11-06,66,52
2011-11-13,71,55
2011-11-20,66,49
2011-11-27,63,52
2011-12-04,58,59
2011-12-11,62,39
2011-12-18,41,41
2011-12-25,51,37
