Category: All categories

Week,Electricity: (Portugal)
2016-01-03,89
2016-01-10,79
2016-01-17,81
2016-01-24,100
2016-01-31,77
2016-02-07,70
2016-02-14,75
2016-02-21,100
2016-02-28,95
2016-03-06,99
2016-03-13,83
2016-03-20,61
2016-03-27,70
2016-04-03,84
2016-04-10,80
2016-04-17,68
2016-04-24,84
2016-05-01,89
2016-05-08,83
2016-05-15,81
2016-05-22,86
2016-05-29,82
2016-06-05,75
2016-06-12,60
2016-06-19,65
2016-06-26,73
2016-07-03,63
2016-07-10,52
2016-07-17,49
2016-07-24,59
2016-07-31,68
2016-08-07,64
2016-08-14,65
2016-08-21,63
2016-08-28,68
2016-09-04,58
2016-09-11,65
2016-09-18,71
2016-09-25,72
2016-10-02,81
2016-10-09,79
2016-10-16,74
2016-10-23,66
2016-10-30,83
2016-11-06,62
2016-11-13,80
2016-11-20,79
2016-11-27,84
2016-12-04,82
2016-12-11,84
2016-12-18,92
2016-12-25,92
