Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2012-01-01,71,45
2012-01-08,85,52
2012-01-15,82,51
2012-01-22,80,48
2012-01-29,69,48
2012-02-05,78,52
2012-02-12,73,47
2012-02-19,64,46
2012-02-26,74,45
2012-03-04,77,53
2012-03-11,82,46
2012-03-18,80,49
2012-03-25,63,47
2012-04-01,51,39
2012-04-08,67,46
2012-04-15,89,48
2012-04-22,74,47
2012-04-29,81,38
2012-05-06,90,39
2012-05-13,96,48
2012-05-20,95,52
2012-05-27,100,48
2012-06-03,82,38
2012-06-10,77,45
2012-06-17,65,45
2012-06-24,72,48
2012-07-01,66,49
2012-07-08,60,53
2012-07-15,53,49
2012-07-22,45,45
2012-07-29,41,42
2012-08-05,42,34
2012-08-12,41,39
2012-08-19,44,42
2012-08-26,45,34
2012-09-02,46,48
2012-09-09,57,50
2012-09-16,65,50
2012-09-23,57,51
2012-09-30,53,42
2012-10-07,58,58
2012-10-14,60,47
2012-10-21,61,49
2012-10-28,63,44
2012-11-04,67,49
2012-11-11,62,51
2012-11-18,65,46
2012-11-25,71,47
2012-12-02,68,41
2012-12-09,65,47
2012-12-16,55,41
2012-12-23,62,26
2012-12-30,72,36
