Category: All categories

Week,Real Estate: (Portugal)
2010-01-03,94
2010-01-10,97
2010-01-17,98
2010-01-24,100
2010-01-31,99
2010-02-07,96
2010-02-14,94
2010-02-21,92
2010-02-28,91
2010-03-07,93
2010-03-14,91
2010-03-21,86
2010-03-28,83
2010-04-04,92
2010-04-11,89
2010-04-18,90
2010-04-25,82
2010-05-02,81
2010-05-09,73
2010-05-16,85
2010-05-23,78
2010-05-30,72
2010-06-06,82
2010-06-13,79
2010-06-20,73
2010-06-27,92
2010-07-04,81
2010-07-11,82
2010-07-18,75
2010-07-25,75
2010-08-01,81
2010-08-08,82
2010-08-15,95
2010-08-22,91
2010-08-29,88
2010-09-05,83
2010-09-12,89
2010-09-19,90
2010-09-26,76
2010-10-03,69
2010-10-10,77
2010-10-17,83
2010-10-24,64
2010-10-31,63
2010-11-07,68
2010-11-14,67
2010-11-21,67
2010-11-28,51
2010-12-05,58
2010-12-12,55
2010-12-19,45
2010-12-26,66
2011-01-02,72
2011-01-09,68
2011-01-16,70
2011-01-23,68
2011-01-30,74
2011-02-06,71
2011-02-13,68
2011-02-20,72
2011-02-27,68
2011-03-06,67
2011-03-13,66
2011-03-20,65
2011-03-27,64
2011-04-03,60
2011-04-10,60
2011-04-17,61
2011-04-24,60
2011-05-01,60
2011-05-08,56
2011-05-15,62
2011-05-22,68
2011-05-29,62
2011-06-05,59
2011-06-12,63
2011-06-19,54
2011-06-26,56
2011-07-03,65
2011-07-10,60
2011-07-17,64
2011-07-24,58
2011-07-31,61
2011-08-07,65
2011-08-14,62
2011-08-21,70
2011-08-28,63
2011-09-04,59
2011-09-11,63
2011-09-18,59
2011-09-25,70
2011-10-02,63
2011-10-09,66
2011-10-16,56
2011-10-23,46
2011-10-30,50
2011-11-06,46
2011-11-13,51
2011-11-20,49
2011-11-27,48
2011-12-04,41
2011-12-11,45
2011-12-18,36
2011-12-25,48
