Category: All categories

Week,Tobacco: (Portugal)
2014-01-05,59
2014-01-12,29
2014-01-19,78
2014-01-26,52
2014-02-02,76
2014-02-09,53
2014-02-16,59
2014-02-23,45
2014-03-02,59
2014-03-09,27
2014-03-16,36
2014-03-23,59
2014-03-30,50
2014-04-06,35
2014-04-13,58
2014-04-20,27
2014-04-27,34
2014-05-04,71
2014-05-11,32
2014-05-18,61
2014-05-25,52
2014-06-01,18
2014-06-08,33
2014-06-15,0
2014-06-22,28
2014-06-29,45
2014-07-06,29
2014-07-13,16
2014-07-20,20
2014-07-27,58
2014-08-03,32
2014-08-10,39
2014-08-17,50
2014-08-24,19
2014-08-31,31
2014-09-07,14
2014-09-14,69
2014-09-21,38
2014-09-28,100
2014-10-05,35
2014-10-12,35
2014-10-19,9
2014-10-26,66
2014-11-02,46
2014-11-09,45
2014-11-16,48
2014-11-23,28
2014-11-30,63
2014-12-07,35
2014-12-14,0
2014-12-21,39
2014-12-28,32
