Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2016-01-03,21,82
2016-01-10,18,73
2016-01-17,19,72
2016-01-24,18,71
2016-01-31,18,68
2016-02-07,15,73
2016-02-14,18,70
2016-02-21,19,77
2016-02-28,20,69
2016-03-06,19,69
2016-03-13,17,68
2016-03-20,15,73
2016-03-27,15,76
2016-04-03,18,69
2016-04-10,20,71
2016-04-17,19,68
2016-04-24,19,68
2016-05-01,20,68
2016-05-08,22,73
2016-05-15,22,69
2016-05-22,21,71
2016-05-29,22,67
2016-06-05,17,69
2016-06-12,18,72
2016-06-19,13,69
2016-06-26,14,72
2016-07-03,13,72
2016-07-10,13,84
2016-07-17,13,100
2016-07-24,13,89
2016-07-31,11,90
2016-08-07,10,79
2016-08-14,10,82
2016-08-21,12,84
2016-08-28,14,82
2016-09-04,13,78
2016-09-11,13,75
2016-09-18,16,75
2016-09-25,17,75
2016-10-02,17,76
2016-10-09,16,70
2016-10-16,16,74
2016-10-23,17,70
2016-10-30,16,77
2016-11-06,19,66
2016-11-13,18,69
2016-11-20,18,76
2016-11-27,17,77
2016-12-04,15,76
2016-12-11,14,77
2016-12-18,11,79
2016-12-25,13,95
