Category: All categories

Week,Energy: (Portugal),electrical appliance: (Portugal)
2010-01-03,67,0
2010-01-10,72,0
2010-01-17,72,0
2010-01-24,73,0
2010-01-31,76,0
2010-02-07,67,2
2010-02-14,56,2
2010-02-21,70,0
2010-02-28,67,1
2010-03-07,70,0
2010-03-14,65,3
2010-03-21,62,0
2010-03-28,41,0
2010-04-04,57,0
2010-04-11,75,0
2010-04-18,86,0
2010-04-25,74,0
2010-05-02,84,0
2010-05-09,78,0
2010-05-16,97,0
2010-05-23,100,0
2010-05-30,84,0
2010-06-06,69,0
2010-06-13,50,0
2010-06-20,42,2
2010-06-27,44,0
2010-07-04,45,0
2010-07-11,36,0
2010-07-18,37,2
2010-07-25,47,0
2010-08-01,38,0
2010-08-08,35,0
2010-08-15,37,0
2010-08-22,36,0
2010-08-29,31,0
2010-09-05,37,1
2010-09-12,50,0
2010-09-19,55,0
2010-09-26,54,0
2010-10-03,49,0
2010-10-10,60,0
2010-10-17,49,0
2010-10-24,56,0
2010-10-31,62,0
2010-11-07,59,0
2010-11-14,68,0
2010-11-21,61,0
2010-11-28,59,0
2010-12-05,56,0
2010-12-12,50,0
2010-12-19,32,0
2010-12-26,28,1
