Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2009-01-04,95,21
2009-01-11,80,16
2009-01-18,72,18
2009-01-25,77,19
2009-02-01,69,19
2009-02-08,74,17
2009-02-15,88,17
2009-02-22,71,20
2009-03-01,100,22
2009-03-08,93,18
2009-03-15,80,20
2009-03-22,93,14
2009-03-29,60,19
2009-04-05,58,15
2009-04-12,81,18
2009-04-19,79,13
2009-04-26,80,15
2009-05-03,87,19
2009-05-10,78,12
2009-05-17,80,22
2009-05-24,94,17
2009-05-31,78,17
2009-06-07,56,16
2009-06-14,72,16
2009-06-21,53,16
2009-06-28,54,14
2009-07-05,59,15
2009-07-12,52,12
2009-07-19,46,12
2009-07-26,46,12
2009-08-02,39,12
2009-08-09,39,12
2009-08-16,29,13
2009-08-23,36,10
2009-08-30,40,12
2009-09-06,31,13
2009-09-13,51,14
2009-09-20,48,14
2009-09-27,53,20
2009-10-04,53,16
2009-10-11,56,20
2009-10-18,65,21
2009-10-25,57,15
2009-11-01,67,15
2009-11-08,64,18
2009-11-15,70,19
2009-11-22,60,15
2009-11-29,54,17
2009-12-06,61,22
2009-12-13,63,17
2009-12-20,34,12
2009-12-27,36,14
