Category: All categories

Week,Hairdresser: (Portugal)
2014-01-05,70
2014-01-12,82
2014-01-19,78
2014-01-26,81
2014-02-02,74
2014-02-09,69
2014-02-16,84
2014-02-23,92
2014-03-02,80
2014-03-09,65
2014-03-16,74
2014-03-23,66
2014-03-30,90
2014-04-06,86
2014-04-13,76
2014-04-20,80
2014-04-27,85
2014-05-04,71
2014-05-11,71
2014-05-18,70
2014-05-25,73
2014-06-01,83
2014-06-08,66
2014-06-15,68
2014-06-22,82
2014-06-29,86
2014-07-06,86
2014-07-13,85
2014-07-20,82
2014-07-27,93
2014-08-03,93
2014-08-10,95
2014-08-17,89
2014-08-24,99
2014-08-31,100
2014-09-07,85
2014-09-14,80
2014-09-21,77
2014-09-28,85
2014-10-05,71
2014-10-12,75
2014-10-19,76
2014-10-26,82
2014-11-02,78
2014-11-09,74
2014-11-16,73
2014-11-23,66
2014-11-30,67
2014-12-07,80
2014-12-14,76
2014-12-21,79
2014-12-28,87
