Category: All categories

Week,Mercedes-Benz: (Portugal)
2013-01-06,60
2013-01-13,65
2013-01-20,63
2013-01-27,62
2013-02-03,66
2013-02-10,66
2013-02-17,66
2013-02-24,60
2013-03-03,65
2013-03-10,61
2013-03-17,80
2013-03-24,85
2013-03-31,72
2013-04-07,69
2013-04-14,73
2013-04-21,65
2013-04-28,57
2013-05-05,55
2013-05-12,68
2013-05-19,61
2013-05-26,61
2013-06-02,57
2013-06-09,66
2013-06-16,60
2013-06-23,56
2013-06-30,60
2013-07-07,58
2013-07-14,64
2013-07-21,64
2013-07-28,65
2013-08-04,70
2013-08-11,76
2013-08-18,70
2013-08-25,63
2013-09-01,68
2013-09-08,69
2013-09-15,70
2013-09-22,72
2013-09-29,70
2013-10-06,72
2013-10-13,68
2013-10-20,68
2013-10-27,61
2013-11-03,71
2013-11-10,71
2013-11-17,66
2013-11-24,59
2013-12-01,64
2013-12-08,68
2013-12-15,60
2013-12-22,80
2013-12-29,78
2014-01-05,85
2014-01-12,88
2014-01-19,83
2014-01-26,81
2014-02-02,72
2014-02-09,68
2014-02-16,82
2014-02-23,85
2014-03-02,87
2014-03-09,83
2014-03-16,92
2014-03-23,75
2014-03-30,66
2014-04-06,66
2014-04-13,69
2014-04-20,76
2014-04-27,71
2014-05-04,75
2014-05-11,75
2014-05-18,65
2014-05-25,71
2014-06-01,72
2014-06-08,67
2014-06-15,65
2014-06-22,70
2014-06-29,71
2014-07-06,88
2014-07-13,73
2014-07-20,77
2014-07-27,69
2014-08-03,75
2014-08-10,78
2014-08-17,79
2014-08-24,76
2014-08-31,79
2014-09-07,82
2014-09-14,91
2014-09-21,86
2014-09-28,76
2014-10-05,76
2014-10-12,85
2014-10-19,82
2014-10-26,78
2014-11-02,78
2014-11-09,86
2014-11-16,84
2014-11-23,82
2014-11-30,81
2014-12-07,81
2014-12-14,80
2014-12-21,78
2014-12-28,100
