Category: All categories

Week,Hairdresser: (Portugal)
2010-01-03,55
2010-01-10,82
2010-01-17,72
2010-01-24,70
2010-01-31,66
2010-02-07,65
2010-02-14,77
2010-02-21,64
2010-02-28,71
2010-03-07,60
2010-03-14,55
2010-03-21,74
2010-03-28,82
2010-04-04,84
2010-04-11,61
2010-04-18,65
2010-04-25,56
2010-05-02,57
2010-05-09,67
2010-05-16,61
2010-05-23,58
2010-05-30,45
2010-06-06,100
2010-06-13,76
2010-06-20,89
2010-06-27,79
2010-07-04,79
2010-07-11,68
2010-07-18,73
2010-07-25,74
2010-08-01,78
2010-08-08,83
2010-08-15,68
2010-08-22,97
2010-08-29,72
2010-09-05,69
2010-09-12,80
2010-09-19,62
2010-09-26,56
2010-10-03,64
2010-10-10,60
2010-10-17,68
2010-10-24,71
2010-10-31,75
2010-11-07,58
2010-11-14,63
2010-11-21,72
2010-11-28,45
2010-12-05,67
2010-12-12,61
2010-12-19,76
2010-12-26,90
2011-01-02,68
2011-01-09,61
2011-01-16,68
2011-01-23,77
2011-01-30,56
2011-02-06,52
2011-02-13,65
2011-02-20,62
2011-02-27,65
2011-03-06,65
2011-03-13,60
2011-03-20,64
2011-03-27,74
2011-04-03,75
2011-04-10,68
2011-04-17,83
2011-04-24,58
2011-05-01,72
2011-05-08,57
2011-05-15,59
2011-05-22,67
2011-05-29,74
2011-06-05,69
2011-06-12,68
2011-06-19,65
2011-06-26,64
2011-07-03,71
2011-07-10,72
2011-07-17,69
2011-07-24,75
2011-07-31,91
2011-08-07,85
2011-08-14,63
2011-08-21,74
2011-08-28,90
2011-09-04,77
2011-09-11,74
2011-09-18,59
2011-09-25,76
2011-10-02,70
2011-10-09,66
2011-10-16,66
2011-10-23,57
2011-10-30,62
2011-11-06,63
2011-11-13,56
2011-11-20,76
2011-11-27,60
2011-12-04,60
2011-12-11,65
2011-12-18,69
2011-12-25,90
