Category: All categories

Week,Jam: (Portugal)
2016-01-03,19
2016-01-10,23
2016-01-17,24
2016-01-24,18
2016-01-31,24
2016-02-07,25
2016-02-14,22
2016-02-21,23
2016-02-28,20
2016-03-06,21
2016-03-13,22
2016-03-20,37
2016-03-27,22
2016-04-03,19
2016-04-10,25
2016-04-17,18
2016-04-24,19
2016-05-01,22
2016-05-08,21
2016-05-15,18
2016-05-22,19
2016-05-29,19
2016-06-05,17
2016-06-12,17
2016-06-19,19
2016-06-26,20
2016-07-03,17
2016-07-10,15
2016-07-17,18
2016-07-24,20
2016-07-31,20
2016-08-07,21
2016-08-14,24
2016-08-21,26
2016-08-28,33
2016-09-04,31
2016-09-11,34
2016-09-18,31
2016-09-25,34
2016-10-02,36
2016-10-09,36
2016-10-16,36
2016-10-23,38
2016-10-30,37
2016-11-06,30
2016-11-13,26
2016-11-20,30
2016-11-27,34
2016-12-04,40
2016-12-11,44
2016-12-18,100
2016-12-25,50
