Category: All categories

Week,Natural gas: (Portugal)
2017-01-01,60
2017-01-08,61
2017-01-15,70
2017-01-22,70
2017-01-29,54
2017-02-05,50
2017-02-12,52
2017-02-19,47
2017-02-26,50
2017-03-05,50
2017-03-12,52
2017-03-19,52
2017-03-26,38
2017-04-02,49
2017-04-09,37
2017-04-16,37
2017-04-23,45
2017-04-30,29
2017-05-07,46
2017-05-14,50
2017-05-21,39
2017-05-28,45
2017-06-04,36
2017-06-11,32
2017-06-18,42
2017-06-25,42
2017-07-02,51
2017-07-09,31
2017-07-16,42
2017-07-23,33
2017-07-30,48
2017-08-06,37
2017-08-13,28
2017-08-20,38
2017-08-27,40
2017-09-03,43
2017-09-10,36
2017-09-17,46
2017-09-24,38
2017-10-01,45
2017-10-08,39
2017-10-15,47
2017-10-22,54
2017-10-29,42
2017-11-05,54
2017-11-12,62
2017-11-19,45
2017-11-26,79
2017-12-03,100
2017-12-10,77
2017-12-17,53
2017-12-24,63
2017-12-31,71
2018-01-07,71
2018-01-14,62
2018-01-21,51
2018-01-28,51
2018-02-04,72
2018-02-11,54
2018-02-18,63
2018-02-25,54
2018-03-04,45
2018-03-11,48
2018-03-18,59
2018-03-25,44
2018-04-01,48
2018-04-08,46
2018-04-15,47
2018-04-22,50
2018-04-29,41
2018-05-06,40
2018-05-13,35
2018-05-20,36
2018-05-27,44
2018-06-03,38
2018-06-10,45
2018-06-17,35
2018-06-24,40
2018-07-01,42
2018-07-08,39
2018-07-15,41
2018-07-22,38
2018-07-29,43
2018-08-05,45
2018-08-12,34
2018-08-19,36
2018-08-26,38
2018-09-02,42
2018-09-09,39
2018-09-16,44
2018-09-23,42
2018-09-30,32
2018-10-07,44
2018-10-14,52
2018-10-21,53
2018-10-28,77
2018-11-04,74
2018-11-11,55
2018-11-18,60
2018-11-25,68
2018-12-02,62
2018-12-09,60
2018-12-16,60
2018-12-23,57
2018-12-30,73
