Category: All categories

Week,Energy: (Portugal),Wi-Fi: (Portugal)
2013-01-06,85,52
2013-01-13,81,40
2013-01-20,88,48
2013-01-27,79,45
2013-02-03,76,42
2013-02-10,62,46
2013-02-17,78,45
2013-02-24,84,41
2013-03-03,88,44
2013-03-10,73,50
2013-03-17,60,50
2013-03-24,70,54
2013-03-31,75,49
2013-04-07,88,43
2013-04-14,82,45
2013-04-21,76,41
2013-04-28,83,41
2013-05-05,79,41
2013-05-12,89,39
2013-05-19,97,43
2013-05-26,99,43
2013-06-02,81,46
2013-06-09,63,49
2013-06-16,64,41
2013-06-23,55,44
2013-06-30,47,42
2013-07-07,49,47
2013-07-14,55,46
2013-07-21,48,54
2013-07-28,41,56
2013-08-04,40,66
2013-08-11,34,68
2013-08-18,43,56
2013-08-25,43,55
2013-09-01,46,55
2013-09-08,52,53
2013-09-15,54,59
2013-09-22,59,58
2013-09-29,65,57
2013-10-06,65,53
2013-10-13,65,47
2013-10-20,68,53
2013-10-27,71,48
2013-11-03,75,50
2013-11-10,72,53
2013-11-17,75,51
2013-11-24,88,48
2013-12-01,100,51
2013-12-08,88,53
2013-12-15,67,53
2013-12-22,56,68
2013-12-29,65,61
