Category: All categories

Week,Shoes: (Portugal)
2015-01-04,70
2015-01-11,71
2015-01-18,65
2015-01-25,70
2015-02-01,74
2015-02-08,71
2015-02-15,75
2015-02-22,75
2015-03-01,79
2015-03-08,90
2015-03-15,79
2015-03-22,81
2015-03-29,99
2015-04-05,81
2015-04-12,83
2015-04-19,83
2015-04-26,94
2015-05-03,83
2015-05-10,91
2015-05-17,88
2015-05-24,91
2015-05-31,85
2015-06-07,78
2015-06-14,76
2015-06-21,73
2015-06-28,78
2015-07-05,72
2015-07-12,73
2015-07-19,72
2015-07-26,75
2015-08-02,73
2015-08-09,67
2015-08-16,74
2015-08-23,79
2015-08-30,73
2015-09-06,78
2015-09-13,85
2015-09-20,80
2015-09-27,82
2015-10-04,99
2015-10-11,98
2015-10-18,100
2015-10-25,88
2015-11-01,92
2015-11-08,82
2015-11-15,80
2015-11-22,79
2015-11-29,74
2015-12-06,77
2015-12-13,78
2015-12-20,79
2015-12-27,81
