Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2009-01-04,93,2
2009-01-11,78,2
2009-01-18,71,2
2009-01-25,73,2
2009-02-01,67,1
2009-02-08,72,1
2009-02-15,90,2
2009-02-22,71,4
2009-03-01,100,4
2009-03-08,88,2
2009-03-15,82,4
2009-03-22,89,4
2009-03-29,58,1
2009-04-05,60,2
2009-04-12,79,4
2009-04-19,79,2
2009-04-26,79,0
2009-05-03,82,4
2009-05-10,77,5
2009-05-17,76,3
2009-05-24,96,2
2009-05-31,77,2
2009-06-07,58,2
2009-06-14,71,1
2009-06-21,52,1
2009-06-28,53,3
2009-07-05,57,2
2009-07-12,50,4
2009-07-19,44,3
2009-07-26,44,0
2009-08-02,40,3
2009-08-09,39,2
2009-08-16,33,3
2009-08-23,35,2
2009-08-30,40,3
2009-09-06,31,4
2009-09-13,48,0
2009-09-20,49,2
2009-09-27,53,2
2009-10-04,51,2
2009-10-11,55,4
2009-10-18,63,4
2009-10-25,58,1
2009-11-01,67,0
2009-11-08,66,2
2009-11-15,70,2
2009-11-22,60,2
2009-11-29,55,3
2009-12-06,58,5
2009-12-13,61,4
2009-12-20,32,1
2009-12-27,36,2
