Category: All categories

Week,ebook: (Portugal)
2016-01-03,96
2016-01-10,77
2016-01-17,78
2016-01-24,78
2016-01-31,69
2016-02-07,93
2016-02-14,84
2016-02-21,100
2016-02-28,80
2016-03-06,91
2016-03-13,67
2016-03-20,70
2016-03-27,72
2016-04-03,90
2016-04-10,69
2016-04-17,84
2016-04-24,81
2016-05-01,65
2016-05-08,64
2016-05-15,84
2016-05-22,57
2016-05-29,40
2016-06-05,61
2016-06-12,54
2016-06-19,58
2016-06-26,67
2016-07-03,81
2016-07-10,51
2016-07-17,55
2016-07-24,89
2016-07-31,90
2016-08-07,77
2016-08-14,64
2016-08-21,90
2016-08-28,57
2016-09-04,63
2016-09-11,72
2016-09-18,89
2016-09-25,71
2016-10-02,68
2016-10-09,71
2016-10-16,74
2016-10-23,66
2016-10-30,69
2016-11-06,64
2016-11-13,64
2016-11-20,66
2016-11-27,84
2016-12-04,70
2016-12-11,54
2016-12-18,63
2016-12-25,83
2017-01-01,67
2017-01-08,67
2017-01-15,70
2017-01-22,78
2017-01-29,67
2017-02-05,72
2017-02-12,61
2017-02-19,63
2017-02-26,66
2017-03-05,51
2017-03-12,72
2017-03-19,73
2017-03-26,63
2017-04-02,46
2017-04-09,58
2017-04-16,56
2017-04-23,93
2017-04-30,36
2017-05-07,60
2017-05-14,53
2017-05-21,43
2017-05-28,63
2017-06-04,61
2017-06-11,71
2017-06-18,39
2017-06-25,49
2017-07-02,59
2017-07-09,70
2017-07-16,76
2017-07-23,34
2017-07-30,75
2017-08-06,75
2017-08-13,82
2017-08-20,62
2017-08-27,83
2017-09-03,62
2017-09-10,63
2017-09-17,52
2017-09-24,63
2017-10-01,61
2017-10-08,63
2017-10-15,71
2017-10-22,82
2017-10-29,48
2017-11-05,65
2017-11-12,64
2017-11-19,59
2017-11-26,55
2017-12-03,61
2017-12-10,85
2017-12-17,64
2017-12-24,42
2017-12-31,57
