Category: All categories

Week,Used car: (Portugal)
2006-01-01,76
2006-01-08,57
2006-01-15,69
2006-01-22,66
2006-01-29,89
2006-02-05,56
2006-02-12,93
2006-02-19,66
2006-02-26,73
2006-03-05,75
2006-03-12,62
2006-03-19,97
2006-03-26,65
2006-04-02,66
2006-04-09,66
2006-04-16,82
2006-04-23,56
2006-04-30,51
2006-05-07,55
2006-05-14,71
2006-05-21,52
2006-05-28,52
2006-06-04,35
2006-06-11,59
2006-06-18,72
2006-06-25,69
2006-07-02,90
2006-07-09,54
2006-07-16,90
2006-07-23,71
2006-07-30,92
2006-08-06,66
2006-08-13,96
2006-08-20,75
2006-08-27,95
2006-09-03,98
2006-09-10,67
2006-09-17,100
2006-09-24,75
2006-10-01,80
2006-10-08,75
2006-10-15,77
2006-10-22,86
2006-10-29,73
2006-11-05,74
2006-11-12,65
2006-11-19,74
2006-11-26,68
2006-12-03,52
2006-12-10,84
2006-12-17,56
2006-12-24,62
2006-12-31,76
