Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2012-01-01,71,9
2012-01-08,85,7
2012-01-15,82,8
2012-01-22,80,7
2012-01-29,69,8
2012-02-05,78,9
2012-02-12,73,7
2012-02-19,64,8
2012-02-26,74,4
2012-03-04,77,7
2012-03-11,82,7
2012-03-18,80,6
2012-03-25,63,6
2012-04-01,51,6
2012-04-08,67,8
2012-04-15,89,7
2012-04-22,74,8
2012-04-29,81,5
2012-05-06,90,8
2012-05-13,96,7
2012-05-20,95,7
2012-05-27,100,8
2012-06-03,82,6
2012-06-10,77,5
2012-06-17,65,5
2012-06-24,72,12
2012-07-01,66,9
2012-07-08,60,8
2012-07-15,53,5
2012-07-22,45,7
2012-07-29,41,7
2012-08-05,42,7
2012-08-12,41,3
2012-08-19,44,5
2012-08-26,45,3
2012-09-02,46,6
2012-09-09,57,8
2012-09-16,65,2
2012-09-23,57,2
2012-09-30,53,4
2012-10-07,58,4
2012-10-14,60,4
2012-10-21,61,5
2012-10-28,63,4
2012-11-04,67,2
2012-11-11,62,6
2012-11-18,65,6
2012-11-25,71,8
2012-12-02,68,6
2012-12-09,65,4
2012-12-16,55,4
2012-12-23,62,4
2012-12-30,72,4
