Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2007-01-07,69,22
2007-01-14,74,25
2007-01-21,64,21
2007-01-28,74,21
2007-02-04,60,14
2007-02-11,54,18
2007-02-18,49,12
2007-02-25,57,16
2007-03-04,80,12
2007-03-11,63,17
2007-03-18,75,21
2007-03-25,54,18
2007-04-01,57,13
2007-04-08,77,17
2007-04-15,83,15
2007-04-22,79,12
2007-04-29,69,28
2007-05-06,100,17
2007-05-13,98,27
2007-05-20,93,21
2007-05-27,95,21
2007-06-03,95,20
2007-06-10,80,17
2007-06-17,53,20
2007-06-24,52,17
2007-07-01,46,9
2007-07-08,45,17
2007-07-15,44,12
2007-07-22,43,13
2007-07-29,41,13
2007-08-05,35,11
2007-08-12,42,13
2007-08-19,46,18
2007-08-26,36,17
2007-09-02,61,15
2007-09-09,42,18
2007-09-16,53,19
2007-09-23,71,20
2007-09-30,57,14
2007-10-07,71,22
2007-10-14,77,23
2007-10-21,73,19
2007-10-28,72,15
2007-11-04,84,19
2007-11-11,85,20
2007-11-18,76,24
2007-11-25,85,19
2007-12-02,76,24
2007-12-09,77,21
2007-12-16,45,15
2007-12-23,43,13
2007-12-30,52,11
