Category: All categories

Week,T-shirt: (Portugal)
2017-01-01,43
2017-01-08,44
2017-01-15,53
2017-01-22,47
2017-01-29,42
2017-02-05,49
2017-02-12,50
2017-02-19,44
2017-02-26,47
2017-03-05,55
2017-03-12,54
2017-03-19,45
2017-03-26,53
2017-04-02,59
2017-04-09,54
2017-04-16,58
2017-04-23,63
2017-04-30,57
2017-05-07,65
2017-05-14,68
2017-05-21,60
2017-05-28,74
2017-06-04,61
2017-06-11,81
2017-06-18,57
2017-06-25,75
2017-07-02,68
2017-07-09,62
2017-07-16,63
2017-07-23,67
2017-07-30,72
2017-08-06,65
2017-08-13,67
2017-08-20,65
2017-08-27,63
2017-09-03,58
2017-09-10,53
2017-09-17,54
2017-09-24,56
2017-10-01,53
2017-10-08,59
2017-10-15,56
2017-10-22,54
2017-10-29,53
2017-11-05,62
2017-11-12,59
2017-11-19,56
2017-11-26,58
2017-12-03,77
2017-12-10,71
2017-12-17,71
2017-12-24,52
2017-12-31,46
2018-01-07,52
2018-01-14,55
2018-01-21,48
2018-01-28,49
2018-02-04,52
2018-02-11,47
2018-02-18,51
2018-02-25,48
2018-03-04,54
2018-03-11,53
2018-03-18,56
2018-03-25,55
2018-04-01,54
2018-04-08,59
2018-04-15,61
2018-04-22,74
2018-04-29,72
2018-05-06,80
2018-05-13,80
2018-05-20,82
2018-05-27,89
2018-06-03,83
2018-06-10,96
2018-06-17,86
2018-06-24,88
2018-07-01,85
2018-07-08,95
2018-07-15,100
2018-07-22,82
2018-07-29,76
2018-08-05,78
2018-08-12,74
2018-08-19,77
2018-08-26,75
2018-09-02,71
2018-09-09,68
2018-09-16,58
2018-09-23,64
2018-09-30,65
2018-10-07,57
2018-10-14,59
2018-10-21,58
2018-10-28,61
2018-11-04,55
2018-11-11,62
2018-11-18,72
2018-11-25,68
2018-12-02,79
2018-12-09,78
2018-12-16,82
2018-12-23,66
2018-12-30,49
