Category: All categories

Week,Travel agency: (Portugal)
2008-01-06,67
2008-01-13,62
2008-01-20,48
2008-01-27,65
2008-02-03,46
2008-02-10,52
2008-02-17,51
2008-02-24,55
2008-03-02,65
2008-03-09,54
2008-03-16,68
2008-03-23,68
2008-03-30,69
2008-04-06,57
2008-04-13,65
2008-04-20,65
2008-04-27,60
2008-05-04,59
2008-05-11,59
2008-05-18,63
2008-05-25,52
2008-06-01,67
2008-06-08,47
2008-06-15,72
2008-06-22,63
2008-06-29,61
2008-07-06,81
2008-07-13,77
2008-07-20,93
2008-07-27,100
2008-08-03,99
2008-08-10,63
2008-08-17,71
2008-08-24,53
2008-08-31,59
2008-09-07,44
2008-09-14,52
2008-09-21,44
2008-09-28,39
2008-10-05,28
2008-10-12,32
2008-10-19,36
2008-10-26,30
2008-11-02,38
2008-11-09,31
2008-11-16,30
2008-11-23,37
2008-11-30,30
2008-12-07,34
2008-12-14,24
2008-12-21,20
2008-12-28,30
2009-01-04,47
2009-01-11,49
2009-01-18,38
2009-01-25,36
2009-02-01,39
2009-02-08,42
2009-02-15,40
2009-02-22,50
2009-03-01,59
2009-03-08,53
2009-03-15,44
2009-03-22,64
2009-03-29,55
2009-04-05,62
2009-04-12,63
2009-04-19,62
2009-04-26,50
2009-05-03,55
2009-05-10,55
2009-05-17,67
2009-05-24,49
2009-05-31,55
2009-06-07,39
2009-06-14,52
2009-06-21,50
2009-06-28,56
2009-07-05,55
2009-07-12,59
2009-07-19,49
2009-07-26,51
2009-08-02,51
2009-08-09,43
2009-08-16,48
2009-08-23,45
2009-08-30,32
2009-09-06,41
2009-09-13,34
2009-09-20,40
2009-09-27,25
2009-10-04,41
2009-10-11,27
2009-10-18,24
2009-10-25,26
2009-11-01,22
2009-11-08,23
2009-11-15,20
2009-11-22,31
2009-11-29,26
2009-12-06,32
2009-12-13,22
2009-12-20,22
2009-12-27,23
