Category: All categories

Week,Travel agency: (Portugal)
2014-01-05,56
2014-01-12,59
2014-01-19,45
2014-01-26,75
2014-02-02,62
2014-02-09,59
2014-02-16,69
2014-02-23,55
2014-03-02,62
2014-03-09,58
2014-03-16,87
2014-03-23,98
2014-03-30,80
2014-04-06,65
2014-04-13,70
2014-04-20,63
2014-04-27,59
2014-05-04,76
2014-05-11,86
2014-05-18,73
2014-05-25,79
2014-06-01,64
2014-06-08,76
2014-06-15,75
2014-06-22,59
2014-06-29,88
2014-07-06,100
2014-07-13,90
2014-07-20,55
2014-07-27,79
2014-08-03,81
2014-08-10,79
2014-08-17,81
2014-08-24,64
2014-08-31,68
2014-09-07,48
2014-09-14,66
2014-09-21,51
2014-09-28,58
2014-10-05,36
2014-10-12,63
2014-10-19,48
2014-10-26,57
2014-11-02,45
2014-11-09,48
2014-11-16,25
2014-11-23,31
2014-11-30,40
2014-12-07,41
2014-12-14,29
2014-12-21,48
2014-12-28,30
2015-01-04,69
2015-01-11,64
2015-01-18,68
2015-01-25,62
2015-02-01,76
2015-02-08,59
2015-02-15,54
2015-02-22,75
2015-03-01,73
2015-03-08,76
2015-03-15,58
2015-03-22,61
2015-03-29,55
2015-04-05,85
2015-04-12,95
2015-04-19,65
2015-04-26,53
2015-05-03,77
2015-05-10,94
2015-05-17,64
2015-05-24,75
2015-05-31,57
2015-06-07,76
2015-06-14,70
2015-06-21,89
2015-06-28,77
2015-07-05,83
2015-07-12,83
2015-07-19,80
2015-07-26,77
2015-08-02,64
2015-08-09,80
2015-08-16,72
2015-08-23,54
2015-08-30,50
2015-09-06,52
2015-09-13,42
2015-09-20,47
2015-09-27,42
2015-10-04,49
2015-10-11,56
2015-10-18,40
2015-10-25,54
2015-11-01,43
2015-11-08,43
2015-11-15,54
2015-11-22,39
2015-11-29,41
2015-12-06,41
2015-12-13,36
2015-12-20,31
2015-12-27,38
