Category: All categories

Week,Amusement park: (Portugal)
2017-01-01,29
2017-01-08,59
2017-01-15,37
2017-01-22,33
2017-01-29,42
2017-02-05,27
2017-02-12,37
2017-02-19,39
2017-02-26,17
2017-03-05,49
2017-03-12,60
2017-03-19,41
2017-03-26,31
2017-04-02,50
2017-04-09,16
2017-04-16,52
2017-04-23,54
2017-04-30,43
2017-05-07,43
2017-05-14,37
2017-05-21,46
2017-05-28,39
2017-06-04,53
2017-06-11,56
2017-06-18,41
2017-06-25,64
2017-07-02,52
2017-07-09,55
2017-07-16,55
2017-07-23,63
2017-07-30,57
2017-08-06,74
2017-08-13,100
2017-08-20,59
2017-08-27,50
2017-09-03,56
2017-09-10,39
2017-09-17,21
2017-09-24,21
2017-10-01,18
2017-10-08,27
2017-10-15,34
2017-10-22,25
2017-10-29,38
2017-11-05,42
2017-11-12,5
2017-11-19,32
2017-11-26,30
2017-12-03,76
2017-12-10,23
2017-12-17,19
2017-12-24,55
2017-12-31,36
2018-01-07,29
2018-01-14,38
2018-01-21,23
2018-01-28,23
2018-02-04,19
2018-02-11,43
2018-02-18,28
2018-02-25,31
2018-03-04,23
2018-03-11,38
2018-03-18,40
2018-03-25,41
2018-04-01,42
2018-04-08,37
2018-04-15,24
2018-04-22,31
2018-04-29,25
2018-05-06,19
2018-05-13,45
2018-05-20,31
2018-05-27,48
2018-06-03,38
2018-06-10,35
2018-06-17,47
2018-06-24,28
2018-07-01,28
2018-07-08,47
2018-07-15,47
2018-07-22,71
2018-07-29,55
2018-08-05,98
2018-08-12,75
2018-08-19,59
2018-08-26,56
2018-09-02,53
2018-09-09,39
2018-09-16,21
2018-09-23,26
2018-09-30,26
2018-10-07,28
2018-10-14,48
2018-10-21,18
2018-10-28,22
2018-11-04,29
2018-11-11,21
2018-11-18,24
2018-11-25,37
2018-12-02,33
2018-12-09,40
2018-12-16,38
2018-12-23,52
2018-12-30,25
