Category: All categories

Week,Automotive industry: (Portugal)
2014-01-05,28
2014-01-12,46
2014-01-19,43
2014-01-26,55
2014-02-02,35
2014-02-09,0
2014-02-16,15
2014-02-23,85
2014-03-02,57
2014-03-09,19
2014-03-16,44
2014-03-23,21
2014-03-30,15
2014-04-06,39
2014-04-13,39
2014-04-20,0
2014-04-27,53
2014-05-04,25
2014-05-11,37
2014-05-18,25
2014-05-25,19
2014-06-01,41
2014-06-08,33
2014-06-15,30
2014-06-22,52
2014-06-29,32
2014-07-06,0
2014-07-13,26
2014-07-20,45
2014-07-27,50
2014-08-03,0
2014-08-10,60
2014-08-17,61
2014-08-24,49
2014-08-31,57
2014-09-07,35
2014-09-14,53
2014-09-21,25
2014-09-28,19
2014-10-05,82
2014-10-12,28
2014-10-19,60
2014-10-26,0
2014-11-02,76
2014-11-09,46
2014-11-16,70
2014-11-23,100
2014-11-30,31
2014-12-07,27
2014-12-14,63
2014-12-21,0
2014-12-28,0
