Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2008-01-06,71,10
2008-01-13,66,10
2008-01-20,61,7
2008-01-27,62,7
2008-02-03,54,8
2008-02-10,61,8
2008-02-17,73,8
2008-02-24,73,7
2008-03-02,72,9
2008-03-09,60,8
2008-03-16,53,11
2008-03-23,47,6
2008-03-30,74,11
2008-04-06,68,12
2008-04-13,68,8
2008-04-20,82,11
2008-04-27,66,8
2008-05-04,89,13
2008-05-11,82,18
2008-05-18,90,22
2008-05-25,100,40
2008-06-01,95,21
2008-06-08,76,29
2008-06-15,69,11
2008-06-22,55,11
2008-06-29,50,10
2008-07-06,51,14
2008-07-13,60,9
2008-07-20,35,14
2008-07-27,31,13
2008-08-03,34,8
2008-08-10,28,13
2008-08-17,38,14
2008-08-24,32,12
2008-08-31,36,13
2008-09-07,39,7
2008-09-14,52,11
2008-09-21,59,11
2008-09-28,61,8
2008-10-05,66,7
2008-10-12,60,12
2008-10-19,58,15
2008-10-26,59,11
2008-11-02,53,11
2008-11-09,65,10
2008-11-16,72,14
2008-11-23,61,12
2008-11-30,57,13
2008-12-07,54,12
2008-12-14,63,11
2008-12-21,40,11
2008-12-28,51,14
