Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2014-01-05,84,23
2014-01-12,80,24
2014-01-19,77,20
2014-01-26,81,19
2014-02-02,71,18
2014-02-09,79,19
2014-02-16,71,20
2014-02-23,73,18
2014-03-02,69,19
2014-03-09,72,16
2014-03-16,79,21
2014-03-23,85,18
2014-03-30,76,17
2014-04-06,60,18
2014-04-13,59,17
2014-04-20,67,16
2014-04-27,66,18
2014-05-04,77,16
2014-05-11,86,17
2014-05-18,99,16
2014-05-25,100,16
2014-06-01,94,13
2014-06-08,88,15
2014-06-15,83,15
2014-06-22,79,15
2014-06-29,67,11
2014-07-06,68,21
2014-07-13,60,15
2014-07-20,51,16
2014-07-27,49,18
2014-08-03,47,18
2014-08-10,43,20
2014-08-17,51,17
2014-08-24,46,15
2014-08-31,62,16
2014-09-07,54,17
2014-09-14,67,16
2014-09-21,65,21
2014-09-28,69,18
2014-10-05,78,18
2014-10-12,70,13
2014-10-19,64,20
2014-10-26,72,16
2014-11-02,71,16
2014-11-09,78,14
2014-11-16,66,15
2014-11-23,64,15
2014-11-30,63,15
2014-12-07,70,15
2014-12-14,63,14
2014-12-21,58,15
2014-12-28,73,17
