Category: All categories

Week,ebook: (Portugal)
2006-01-01,38
2006-01-08,35
2006-01-15,75
2006-01-22,11
2006-01-29,32
2006-02-05,100
2006-02-12,56
2006-02-19,30
2006-02-26,79
2006-03-05,28
2006-03-12,24
2006-03-19,19
2006-03-26,44
2006-04-02,27
2006-04-09,47
2006-04-16,28
2006-04-23,20
2006-04-30,50
2006-05-07,39
2006-05-14,26
2006-05-21,47
2006-05-28,31
2006-06-04,44
2006-06-11,30
2006-06-18,20
2006-06-25,52
2006-07-02,63
2006-07-09,61
2006-07-16,49
2006-07-23,46
2006-07-30,50
2006-08-06,51
2006-08-13,37
2006-08-20,16
2006-08-27,36
2006-09-03,18
2006-09-10,19
2006-09-17,34
2006-09-24,48
2006-10-01,55
2006-10-08,36
2006-10-15,41
2006-10-22,35
2006-10-29,69
2006-11-05,19
2006-11-12,29
2006-11-19,40
2006-11-26,45
2006-12-03,56
2006-12-10,35
2006-12-17,61
2006-12-24,36
2006-12-31,40
2007-01-07,45
2007-01-14,32
2007-01-21,37
2007-01-28,40
2007-02-04,20
2007-02-11,27
2007-02-18,36
2007-02-25,57
2007-03-04,49
2007-03-11,30
2007-03-18,25
2007-03-25,25
2007-04-01,39
2007-04-08,43
2007-04-15,37
2007-04-22,27
2007-04-29,33
2007-05-06,25
2007-05-13,33
2007-05-20,23
2007-05-27,33
2007-06-03,31
2007-06-10,27
2007-06-17,23
2007-06-24,43
2007-07-01,26
2007-07-08,36
2007-07-15,19
2007-07-22,35
2007-07-29,19
2007-08-05,33
2007-08-12,31
2007-08-19,14
2007-08-26,27
2007-09-02,52
2007-09-09,23
2007-09-16,22
2007-09-23,32
2007-09-30,33
2007-10-07,40
2007-10-14,54
2007-10-21,56
2007-10-28,43
2007-11-04,60
2007-11-11,37
2007-11-18,57
2007-11-25,43
2007-12-02,49
2007-12-09,36
2007-12-16,51
2007-12-23,49
2007-12-30,34
