Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2014-01-05,82,3
2014-01-12,80,1
2014-01-19,79,3
2014-01-26,79,3
2014-02-02,74,4
2014-02-09,79,2
2014-02-16,70,3
2014-02-23,76,4
2014-03-02,67,3
2014-03-09,70,3
2014-03-16,79,3
2014-03-23,83,2
2014-03-30,77,1
2014-04-06,60,4
2014-04-13,59,3
2014-04-20,67,1
2014-04-27,66,0
2014-05-04,76,6
2014-05-11,86,2
2014-05-18,100,2
2014-05-25,99,1
2014-06-01,97,3
2014-06-08,86,1
2014-06-15,81,2
2014-06-22,79,2
2014-06-29,65,2
2014-07-06,68,3
2014-07-13,61,3
2014-07-20,50,0
2014-07-27,49,2
2014-08-03,47,4
2014-08-10,42,2
2014-08-17,51,2
2014-08-24,48,3
2014-08-31,59,3
2014-09-07,55,1
2014-09-14,66,2
2014-09-21,66,2
2014-09-28,70,2
2014-10-05,77,3
2014-10-12,71,3
2014-10-19,62,4
2014-10-26,72,2
2014-11-02,73,4
2014-11-09,78,1
2014-11-16,67,3
2014-11-23,66,3
2014-11-30,64,2
2014-12-07,70,1
2014-12-14,64,2
2014-12-21,57,0
2014-12-28,71,3
