Category: All categories

Week,Mobile phone: (Portugal)
2006-01-01,79
2006-01-08,68
2006-01-15,81
2006-01-22,72
2006-01-29,68
2006-02-05,66
2006-02-12,66
2006-02-19,64
2006-02-26,58
2006-03-05,64
2006-03-12,58
2006-03-19,54
2006-03-26,61
2006-04-02,60
2006-04-09,58
2006-04-16,58
2006-04-23,50
2006-04-30,56
2006-05-07,52
2006-05-14,51
2006-05-21,53
2006-05-28,57
2006-06-04,49
2006-06-11,53
2006-06-18,52
2006-06-25,60
2006-07-02,62
2006-07-09,61
2006-07-16,68
2006-07-23,72
2006-07-30,76
2006-08-06,72
2006-08-13,69
2006-08-20,63
2006-08-27,77
2006-09-03,68
2006-09-10,73
2006-09-17,63
2006-09-24,64
2006-10-01,68
2006-10-08,52
2006-10-15,53
2006-10-22,53
2006-10-29,62
2006-11-05,56
2006-11-12,61
2006-11-19,64
2006-11-26,68
2006-12-03,71
2006-12-10,69
2006-12-17,80
2006-12-24,92
2006-12-31,69
2007-01-07,63
2007-01-14,62
2007-01-21,59
2007-01-28,56
2007-02-04,57
2007-02-11,58
2007-02-18,58
2007-02-25,54
2007-03-04,54
2007-03-11,43
2007-03-18,51
2007-03-25,51
2007-04-01,54
2007-04-08,56
2007-04-15,53
2007-04-22,52
2007-04-29,56
2007-05-06,52
2007-05-13,48
2007-05-20,53
2007-05-27,51
2007-06-03,52
2007-06-10,57
2007-06-17,54
2007-06-24,55
2007-07-01,59
2007-07-08,62
2007-07-15,64
2007-07-22,61
2007-07-29,59
2007-08-05,63
2007-08-12,66
2007-08-19,67
2007-08-26,67
2007-09-02,59
2007-09-09,58
2007-09-16,51
2007-09-23,57
2007-09-30,53
2007-10-07,55
2007-10-14,61
2007-10-21,74
2007-10-28,63
2007-11-04,63
2007-11-11,61
2007-11-18,65
2007-11-25,89
2007-12-02,83
2007-12-09,81
2007-12-16,69
2007-12-23,100
2007-12-30,72
