Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2014-01-05,85,20
2014-01-12,80,22
2014-01-19,80,20
2014-01-26,82,22
2014-02-02,73,18
2014-02-09,80,24
2014-02-16,71,17
2014-02-23,76,22
2014-03-02,68,22
2014-03-09,72,19
2014-03-16,81,18
2014-03-23,86,20
2014-03-30,77,17
2014-04-06,62,18
2014-04-13,61,19
2014-04-20,67,22
2014-04-27,67,21
2014-05-04,79,27
2014-05-11,86,22
2014-05-18,99,24
2014-05-25,100,20
2014-06-01,97,22
2014-06-08,88,19
2014-06-15,84,21
2014-06-22,78,18
2014-06-29,69,27
2014-07-06,69,18
2014-07-13,61,23
2014-07-20,52,24
2014-07-27,51,24
2014-08-03,48,22
2014-08-10,41,19
2014-08-17,51,24
2014-08-24,46,23
2014-08-31,62,23
2014-09-07,56,25
2014-09-14,66,21
2014-09-21,66,22
2014-09-28,72,23
2014-10-05,79,16
2014-10-12,71,23
2014-10-19,64,31
2014-10-26,74,26
2014-11-02,72,28
2014-11-09,76,22
2014-11-16,67,20
2014-11-23,66,22
2014-11-30,63,25
2014-12-07,74,31
2014-12-14,65,26
2014-12-21,58,36
2014-12-28,73,29
