Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2014-01-05,84,1
2014-01-12,80,0
2014-01-19,77,2
2014-01-26,81,1
2014-02-02,71,2
2014-02-09,79,1
2014-02-16,71,1
2014-02-23,73,1
2014-03-02,69,1
2014-03-09,72,1
2014-03-16,79,0
2014-03-23,85,1
2014-03-30,76,2
2014-04-06,60,1
2014-04-13,59,0
2014-04-20,67,1
2014-04-27,66,0
2014-05-04,77,1
2014-05-11,86,1
2014-05-18,99,1
2014-05-25,100,0
2014-06-01,94,1
2014-06-08,88,1
2014-06-15,83,2
2014-06-22,79,1
2014-06-29,67,0
2014-07-06,68,0
2014-07-13,60,0
2014-07-20,51,2
2014-07-27,49,0
2014-08-03,47,0
2014-08-10,43,0
2014-08-17,51,2
2014-08-24,46,1
2014-08-31,62,2
2014-09-07,54,1
2014-09-14,67,2
2014-09-21,65,2
2014-09-28,69,2
2014-10-05,78,1
2014-10-12,70,0
2014-10-19,64,0
2014-10-26,72,4
2014-11-02,71,0
2014-11-09,78,0
2014-11-16,66,1
2014-11-23,64,2
2014-11-30,63,4
2014-12-07,70,2
2014-12-14,63,0
2014-12-21,58,0
2014-12-28,73,0
