Category: All categories

Week,Natural gas: (Portugal)
2016-01-03,60
2016-01-10,52
2016-01-17,73
2016-01-24,56
2016-01-31,65
2016-02-07,77
2016-02-14,70
2016-02-21,66
2016-02-28,70
2016-03-06,69
2016-03-13,52
2016-03-20,60
2016-03-27,56
2016-04-03,48
2016-04-10,66
2016-04-17,58
2016-04-24,56
2016-05-01,62
2016-05-08,57
2016-05-15,63
2016-05-22,50
2016-05-29,50
2016-06-05,52
2016-06-12,52
2016-06-19,30
2016-06-26,49
2016-07-03,45
2016-07-10,33
2016-07-17,44
2016-07-24,49
2016-07-31,50
2016-08-07,45
2016-08-14,34
2016-08-21,45
2016-08-28,40
2016-09-04,41
2016-09-11,60
2016-09-18,49
2016-09-25,50
2016-10-02,34
2016-10-09,60
2016-10-16,53
2016-10-23,74
2016-10-30,35
2016-11-06,69
2016-11-13,67
2016-11-20,93
2016-11-27,100
2016-12-04,75
2016-12-11,77
2016-12-18,57
2016-12-25,84
