Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2013-01-06,85,57
2013-01-13,81,43
2013-01-20,88,50
2013-01-27,79,43
2013-02-03,76,38
2013-02-10,62,36
2013-02-17,78,33
2013-02-24,84,66
2013-03-03,88,50
2013-03-10,73,40
2013-03-17,60,31
2013-03-24,70,46
2013-03-31,75,37
2013-04-07,88,32
2013-04-14,82,31
2013-04-21,76,38
2013-04-28,83,67
2013-05-05,79,34
2013-05-12,89,36
2013-05-19,97,31
2013-05-26,99,40
2013-06-02,81,33
2013-06-09,63,25
2013-06-16,64,24
2013-06-23,55,26
2013-06-30,47,22
2013-07-07,49,25
2013-07-14,55,20
2013-07-21,48,24
2013-07-28,41,24
2013-08-04,40,22
2013-08-11,34,22
2013-08-18,43,22
2013-08-25,43,22
2013-09-01,46,24
2013-09-08,52,24
2013-09-15,54,25
2013-09-22,59,26
2013-09-29,65,24
2013-10-06,65,30
2013-10-13,65,37
2013-10-20,68,33
2013-10-27,71,32
2013-11-03,75,38
2013-11-10,72,32
2013-11-17,75,36
2013-11-24,88,32
2013-12-01,100,39
2013-12-08,88,38
2013-12-15,67,29
2013-12-22,56,32
2013-12-29,65,38
