Category: All categories

Week,Novel: (Portugal)
2010-01-03,23
2010-01-10,44
2010-01-17,45
2010-01-24,51
2010-01-31,40
2010-02-07,80
2010-02-14,29
2010-02-21,50
2010-02-28,50
2010-03-07,32
2010-03-14,52
2010-03-21,51
2010-03-28,100
2010-04-04,44
2010-04-11,41
2010-04-18,70
2010-04-25,19
2010-05-02,36
2010-05-09,39
2010-05-16,47
2010-05-23,23
2010-05-30,63
2010-06-06,53
2010-06-13,0
2010-06-20,61
2010-06-27,0
2010-07-04,46
2010-07-11,24
2010-07-18,58
2010-07-25,55
2010-08-01,31
2010-08-08,0
2010-08-15,77
2010-08-22,47
2010-08-29,84
2010-09-05,29
2010-09-12,74
2010-09-19,53
2010-09-26,0
2010-10-03,51
2010-10-10,0
2010-10-17,65
2010-10-24,34
2010-10-31,36
2010-11-07,32
2010-11-14,69
2010-11-21,23
2010-11-28,0
2010-12-05,65
2010-12-12,72
2010-12-19,29
2010-12-26,65
2011-01-02,42
2011-01-09,52
2011-01-16,19
2011-01-23,65
2011-01-30,54
2011-02-06,61
2011-02-13,45
2011-02-20,53
2011-02-27,77
2011-03-06,34
2011-03-13,63
2011-03-20,24
2011-03-27,46
2011-04-03,20
2011-04-10,36
2011-04-17,64
2011-04-24,79
2011-05-01,60
2011-05-08,73
2011-05-15,42
2011-05-22,58
2011-05-29,44
2011-06-05,55
2011-06-12,48
2011-06-19,53
2011-06-26,53
2011-07-03,34
2011-07-10,63
2011-07-17,64
2011-07-24,53
2011-07-31,67
2011-08-07,70
2011-08-14,86
2011-08-21,90
2011-08-28,55
2011-09-04,58
2011-09-11,63
2011-09-18,53
2011-09-25,56
2011-10-02,74
2011-10-09,56
2011-10-16,58
2011-10-23,72
2011-10-30,45
2011-11-06,99
2011-11-13,62
2011-11-20,91
2011-11-27,96
2011-12-04,46
2011-12-11,92
2011-12-18,74
2011-12-25,71
