Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2007-01-07,69,45
2007-01-14,74,34
2007-01-21,64,27
2007-01-28,74,41
2007-02-04,60,29
2007-02-11,54,33
2007-02-18,49,41
2007-02-25,57,37
2007-03-04,80,35
2007-03-11,63,37
2007-03-18,75,44
2007-03-25,54,45
2007-04-01,57,41
2007-04-08,77,47
2007-04-15,83,34
2007-04-22,79,47
2007-04-29,69,27
2007-05-06,100,32
2007-05-13,98,34
2007-05-20,93,39
2007-05-27,95,35
2007-06-03,95,39
2007-06-10,80,42
2007-06-17,53,39
2007-06-24,52,42
2007-07-01,46,38
2007-07-08,45,44
2007-07-15,44,43
2007-07-22,43,51
2007-07-29,41,38
2007-08-05,35,47
2007-08-12,42,35
2007-08-19,46,39
2007-08-26,36,35
2007-09-02,61,35
2007-09-09,42,23
2007-09-16,53,25
2007-09-23,71,19
2007-09-30,57,19
2007-10-07,71,24
2007-10-14,77,25
2007-10-21,73,23
2007-10-28,72,24
2007-11-04,84,18
2007-11-11,85,25
2007-11-18,76,14
2007-11-25,85,14
2007-12-02,76,17
2007-12-09,77,19
2007-12-16,45,22
2007-12-23,43,15
2007-12-30,52,20
