Category: All categories

Week,Footwear: (Portugal)
2010-01-03,0
2010-01-10,50
2010-01-17,0
2010-01-24,23
2010-01-31,0
2010-02-07,0
2010-02-14,47
2010-02-21,23
2010-02-28,0
2010-03-07,25
2010-03-14,0
2010-03-21,30
2010-03-28,29
2010-04-04,100
2010-04-11,0
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,25
2010-05-16,32
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,31
2010-06-27,0
2010-07-04,0
2010-07-11,25
2010-07-18,40
2010-07-25,41
2010-08-01,0
2010-08-08,0
2010-08-15,37
2010-08-22,48
2010-08-29,31
2010-09-05,36
2010-09-12,0
2010-09-19,25
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,43
2010-10-24,64
2010-10-31,77
2010-11-07,89
2010-11-14,39
2010-11-21,0
2010-11-28,46
2010-12-05,0
2010-12-12,40
2010-12-19,0
2010-12-26,0
2011-01-02,37
2011-01-09,31
2011-01-16,28
2011-01-23,21
2011-01-30,0
2011-02-06,38
2011-02-13,0
2011-02-20,19
2011-02-27,0
2011-03-06,37
2011-03-13,32
2011-03-20,32
2011-03-27,14
2011-04-03,0
2011-04-10,44
2011-04-17,17
2011-04-24,23
2011-05-01,39
2011-05-08,39
2011-05-15,34
2011-05-22,0
2011-05-29,13
2011-06-05,42
2011-06-12,0
2011-06-19,26
2011-06-26,0
2011-07-03,0
2011-07-10,63
2011-07-17,0
2011-07-24,60
2011-07-31,30
2011-08-07,0
2011-08-14,0
2011-08-21,54
2011-08-28,96
2011-09-04,24
2011-09-11,44
2011-09-18,29
2011-09-25,0
2011-10-02,29
2011-10-09,0
2011-10-16,0
2011-10-23,0
2011-10-30,37
2011-11-06,28
2011-11-13,15
2011-11-20,0
2011-11-27,0
2011-12-04,67
2011-12-11,25
2011-12-18,55
2011-12-25,20
