Category: All categories

Week,Clothing: (Portugal)
2017-01-01,84
2017-01-08,81
2017-01-15,93
2017-01-22,86
2017-01-29,90
2017-02-05,84
2017-02-12,89
2017-02-19,96
2017-02-26,86
2017-03-05,77
2017-03-12,81
2017-03-19,78
2017-03-26,78
2017-04-02,82
2017-04-09,80
2017-04-16,78
2017-04-23,82
2017-04-30,82
2017-05-07,80
2017-05-14,83
2017-05-21,83
2017-05-28,85
2017-06-04,84
2017-06-11,74
2017-06-18,78
2017-06-25,78
2017-07-02,80
2017-07-09,75
2017-07-16,79
2017-07-23,80
2017-07-30,75
2017-08-06,78
2017-08-13,75
2017-08-20,76
2017-08-27,83
2017-09-03,81
2017-09-10,81
2017-09-17,82
2017-09-24,85
2017-10-01,81
2017-10-08,82
2017-10-15,80
2017-10-22,89
2017-10-29,84
2017-11-05,89
2017-11-12,88
2017-11-19,91
2017-11-26,94
2017-12-03,96
2017-12-10,91
2017-12-17,86
2017-12-24,100
2017-12-31,100
