Category: All categories

Week,Furniture: (Portugal)
2006-01-01,75
2006-01-08,70
2006-01-15,73
2006-01-22,78
2006-01-29,75
2006-02-05,70
2006-02-12,91
2006-02-19,66
2006-02-26,51
2006-03-05,66
2006-03-12,83
2006-03-19,73
2006-03-26,88
2006-04-02,51
2006-04-09,59
2006-04-16,70
2006-04-23,50
2006-04-30,47
2006-05-07,53
2006-05-14,69
2006-05-21,49
2006-05-28,46
2006-06-04,57
2006-06-11,80
2006-06-18,73
2006-06-25,57
2006-07-02,66
2006-07-09,63
2006-07-16,56
2006-07-23,69
2006-07-30,75
2006-08-06,61
2006-08-13,85
2006-08-20,71
2006-08-27,77
2006-09-03,80
2006-09-10,69
2006-09-17,78
2006-09-24,62
2006-10-01,100
2006-10-08,68
2006-10-15,67
2006-10-22,70
2006-10-29,93
2006-11-05,68
2006-11-12,65
2006-11-19,66
2006-11-26,67
2006-12-03,55
2006-12-10,48
2006-12-17,33
2006-12-24,56
2006-12-31,61
2007-01-07,67
2007-01-14,63
2007-01-21,71
2007-01-28,71
2007-02-04,67
2007-02-11,45
2007-02-18,45
2007-02-25,78
2007-03-04,61
2007-03-11,65
2007-03-18,52
2007-03-25,65
2007-04-01,60
2007-04-08,63
2007-04-15,60
2007-04-22,55
2007-04-29,54
2007-05-06,55
2007-05-13,53
2007-05-20,57
2007-05-27,57
2007-06-03,60
2007-06-10,64
2007-06-17,50
2007-06-24,70
2007-07-01,56
2007-07-08,54
2007-07-15,60
2007-07-22,60
2007-07-29,62
2007-08-05,53
2007-08-12,57
2007-08-19,76
2007-08-26,82
2007-09-02,63
2007-09-09,58
2007-09-16,66
2007-09-23,67
2007-09-30,61
2007-10-07,66
2007-10-14,54
2007-10-21,52
2007-10-28,55
2007-11-04,56
2007-11-11,40
2007-11-18,53
2007-11-25,51
2007-12-02,60
2007-12-09,39
2007-12-16,28
2007-12-23,50
2007-12-30,51
