Category: All categories

Week,Tobacco: (Portugal)
2007-01-07,0
2007-01-14,83
2007-01-21,0
2007-01-28,54
2007-02-04,0
2007-02-11,0
2007-02-18,0
2007-02-25,48
2007-03-04,0
2007-03-11,28
2007-03-18,0
2007-03-25,36
2007-04-01,0
2007-04-08,49
2007-04-15,0
2007-04-22,0
2007-04-29,0
2007-05-06,20
2007-05-13,0
2007-05-20,37
2007-05-27,33
2007-06-03,42
2007-06-10,0
2007-06-17,71
2007-06-24,0
2007-07-01,0
2007-07-08,0
2007-07-15,0
2007-07-22,0
2007-07-29,27
2007-08-05,0
2007-08-12,29
2007-08-19,0
2007-08-26,19
2007-09-02,0
2007-09-09,0
2007-09-16,0
2007-09-23,0
2007-09-30,36
2007-10-07,0
2007-10-14,18
2007-10-21,0
2007-10-28,91
2007-11-04,21
2007-11-11,27
2007-11-18,41
2007-11-25,54
2007-12-02,0
2007-12-09,19
2007-12-16,100
2007-12-23,29
2007-12-30,79
