Category: All categories

Week,Energy: (Portugal),Jam: (Portugal)
2012-01-01,74,20
2012-01-08,85,19
2012-01-15,84,20
2012-01-22,81,19
2012-01-29,70,26
2012-02-05,81,24
2012-02-12,73,25
2012-02-19,64,23
2012-02-26,77,24
2012-03-04,77,28
2012-03-11,84,27
2012-03-18,81,30
2012-03-25,64,20
2012-04-01,53,38
2012-04-08,68,25
2012-04-15,89,18
2012-04-22,75,22
2012-04-29,81,21
2012-05-06,90,20
2012-05-13,97,19
2012-05-20,95,21
2012-05-27,100,22
2012-06-03,83,27
2012-06-10,77,27
2012-06-17,67,26
2012-06-24,72,25
2012-07-01,67,27
2012-07-08,60,29
2012-07-15,51,29
2012-07-22,46,27
2012-07-29,42,27
2012-08-05,42,31
2012-08-12,41,36
2012-08-19,45,35
2012-08-26,46,36
2012-09-02,46,41
2012-09-09,58,35
2012-09-16,66,34
2012-09-23,56,41
2012-09-30,52,36
2012-10-07,58,40
2012-10-14,61,39
2012-10-21,62,31
2012-10-28,63,37
2012-11-04,67,32
2012-11-11,63,35
2012-11-18,66,40
2012-11-25,71,33
2012-12-02,69,39
2012-12-09,67,50
2012-12-16,56,69
2012-12-23,64,62
2012-12-30,72,42
