Category: All categories

Week,T-shirt: (Portugal)
2017-01-01,57
2017-01-08,57
2017-01-15,68
2017-01-22,60
2017-01-29,56
2017-02-05,66
2017-02-12,63
2017-02-19,57
2017-02-26,62
2017-03-05,74
2017-03-12,72
2017-03-19,55
2017-03-26,67
2017-04-02,77
2017-04-09,70
2017-04-16,75
2017-04-23,86
2017-04-30,75
2017-05-07,83
2017-05-14,89
2017-05-21,80
2017-05-28,98
2017-06-04,79
2017-06-11,100
2017-06-18,76
2017-06-25,100
2017-07-02,88
2017-07-09,79
2017-07-16,79
2017-07-23,88
2017-07-30,93
2017-08-06,85
2017-08-13,94
2017-08-20,87
2017-08-27,82
2017-09-03,75
2017-09-10,76
2017-09-17,71
2017-09-24,72
2017-10-01,72
2017-10-08,75
2017-10-15,72
2017-10-22,74
2017-10-29,70
2017-11-05,85
2017-11-12,77
2017-11-19,75
2017-11-26,77
2017-12-03,100
2017-12-10,95
2017-12-17,90
2017-12-24,68
2017-12-31,60
