Category: All categories

Week,Furniture: (Portugal)
2014-01-05,80
2014-01-12,84
2014-01-19,83
2014-01-26,90
2014-02-02,92
2014-02-09,86
2014-02-16,94
2014-02-23,76
2014-03-02,89
2014-03-09,74
2014-03-16,76
2014-03-23,80
2014-03-30,90
2014-04-06,87
2014-04-13,82
2014-04-20,78
2014-04-27,77
2014-05-04,80
2014-05-11,85
2014-05-18,91
2014-05-25,81
2014-06-01,85
2014-06-08,82
2014-06-15,82
2014-06-22,86
2014-06-29,83
2014-07-06,75
2014-07-13,91
2014-07-20,81
2014-07-27,88
2014-08-03,94
2014-08-10,92
2014-08-17,89
2014-08-24,94
2014-08-31,93
2014-09-07,87
2014-09-14,89
2014-09-21,80
2014-09-28,93
2014-10-05,85
2014-10-12,91
2014-10-19,100
2014-10-26,93
2014-11-02,93
2014-11-09,90
2014-11-16,100
2014-11-23,91
2014-11-30,80
2014-12-07,90
2014-12-14,61
2014-12-21,63
2014-12-28,84
