Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2006-01-01,42,48
2006-01-08,42,61
2006-01-15,37,56
2006-01-22,35,51
2006-01-29,43,60
2006-02-05,48,64
2006-02-12,30,100
2006-02-19,43,62
2006-02-26,36,52
2006-03-05,42,49
2006-03-12,40,60
2006-03-19,41,56
2006-03-26,37,59
2006-04-02,31,53
2006-04-09,31,71
2006-04-16,40,56
2006-04-23,42,55
2006-04-30,50,54
2006-05-07,57,60
2006-05-14,60,62
2006-05-21,69,66
2006-05-28,50,58
2006-06-04,69,51
2006-06-11,45,51
2006-06-18,29,53
2006-06-25,28,59
2006-07-02,20,45
2006-07-09,23,57
2006-07-16,13,61
2006-07-23,23,64
2006-07-30,14,63
2006-08-06,18,62
2006-08-13,20,80
2006-08-20,18,60
2006-08-27,24,60
2006-09-03,16,64
2006-09-10,16,57
2006-09-17,27,56
2006-09-24,33,61
2006-10-01,40,59
2006-10-08,38,63
2006-10-15,37,56
2006-10-22,41,69
2006-10-29,35,62
2006-11-05,37,64
2006-11-12,34,65
2006-11-19,37,67
2006-11-26,33,71
2006-12-03,33,79
2006-12-10,32,94
2006-12-17,22,94
2006-12-24,16,89
2006-12-31,28,67
