Category: All categories

Week,Video game: (Portugal)
2015-01-04,68
2015-01-11,73
2015-01-18,65
2015-01-25,70
2015-02-01,64
2015-02-08,69
2015-02-15,77
2015-02-22,58
2015-03-01,61
2015-03-08,57
2015-03-15,60
2015-03-22,77
2015-03-29,80
2015-04-05,64
2015-04-12,56
2015-04-19,59
2015-04-26,65
2015-05-03,56
2015-05-10,56
2015-05-17,59
2015-05-24,56
2015-05-31,56
2015-06-07,64
2015-06-14,74
2015-06-21,71
2015-06-28,72
2015-07-05,72
2015-07-12,70
2015-07-19,69
2015-07-26,69
2015-08-02,72
2015-08-09,70
2015-08-16,69
2015-08-23,76
2015-08-30,75
2015-09-06,74
2015-09-13,67
2015-09-20,56
2015-09-27,58
2015-10-04,55
2015-10-11,56
2015-10-18,54
2015-10-25,56
2015-11-01,60
2015-11-08,59
2015-11-15,57
2015-11-22,58
2015-11-29,60
2015-12-06,67
2015-12-13,71
2015-12-20,98
2015-12-27,80
2016-01-03,55
2016-01-10,53
2016-01-17,52
2016-01-24,51
2016-01-31,54
2016-02-07,64
2016-02-14,52
2016-02-21,52
2016-02-28,51
2016-03-06,53
2016-03-13,54
2016-03-20,65
2016-03-27,64
2016-04-03,48
2016-04-10,47
2016-04-17,48
2016-04-24,53
2016-05-01,48
2016-05-08,46
2016-05-15,51
2016-05-22,53
2016-05-29,48
2016-06-05,52
2016-06-12,60
2016-06-19,55
2016-06-26,62
2016-07-03,56
2016-07-10,59
2016-07-17,69
2016-07-24,55
2016-07-31,58
2016-08-07,57
2016-08-14,58
2016-08-21,58
2016-08-28,59
2016-09-04,54
2016-09-11,43
2016-09-18,44
2016-09-25,42
2016-10-02,45
2016-10-09,42
2016-10-16,44
2016-10-23,43
2016-10-30,54
2016-11-06,49
2016-11-13,52
2016-11-20,53
2016-11-27,62
2016-12-04,80
2016-12-11,77
2016-12-18,100
2016-12-25,96
