Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2008-01-06,71,16
2008-01-13,66,17
2008-01-20,61,10
2008-01-27,62,13
2008-02-03,54,15
2008-02-10,61,19
2008-02-17,73,15
2008-02-24,73,13
2008-03-02,72,14
2008-03-09,60,12
2008-03-16,53,20
2008-03-23,47,16
2008-03-30,74,15
2008-04-06,68,12
2008-04-13,68,15
2008-04-20,82,15
2008-04-27,66,16
2008-05-04,89,19
2008-05-11,82,15
2008-05-18,90,17
2008-05-25,100,12
2008-06-01,95,16
2008-06-08,76,18
2008-06-15,69,14
2008-06-22,55,11
2008-06-29,50,21
2008-07-06,51,15
2008-07-13,60,16
2008-07-20,35,12
2008-07-27,31,17
2008-08-03,34,18
2008-08-10,28,17
2008-08-17,38,17
2008-08-24,32,24
2008-08-31,36,21
2008-09-07,39,26
2008-09-14,52,13
2008-09-21,59,17
2008-09-28,61,15
2008-10-05,66,9
2008-10-12,60,15
2008-10-19,58,13
2008-10-26,59,16
2008-11-02,53,16
2008-11-09,65,18
2008-11-16,72,20
2008-11-23,61,15
2008-11-30,57,17
2008-12-07,54,17
2008-12-14,63,19
2008-12-21,40,16
2008-12-28,51,15
