Category: All categories

Week,Lumber: (Portugal)
2014-01-05,31
2014-01-12,60
2014-01-19,81
2014-01-26,61
2014-02-02,28
2014-02-09,59
2014-02-16,59
2014-02-23,45
2014-03-02,85
2014-03-09,83
2014-03-16,64
2014-03-23,79
2014-03-30,35
2014-04-06,100
2014-04-13,52
2014-04-20,55
2014-04-27,52
2014-05-04,49
2014-05-11,23
2014-05-18,0
2014-05-25,68
2014-06-01,52
2014-06-08,70
2014-06-15,44
2014-06-22,36
2014-06-29,0
2014-07-06,26
2014-07-13,0
2014-07-20,62
2014-07-27,55
2014-08-03,49
2014-08-10,37
2014-08-17,34
2014-08-24,48
2014-08-31,37
2014-09-07,18
2014-09-14,0
2014-09-21,59
2014-09-28,0
2014-10-05,29
2014-10-12,17
2014-10-19,28
2014-10-26,40
2014-11-02,25
2014-11-09,39
2014-11-16,76
2014-11-23,39
2014-11-30,57
2014-12-07,26
2014-12-14,60
2014-12-21,34
2014-12-28,15
