Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2015-01-04,87,25
2015-01-11,100,27
2015-01-18,93,23
2015-01-25,85,21
2015-02-01,75,24
2015-02-08,76,27
2015-02-15,70,25
2015-02-22,92,28
2015-03-01,84,23
2015-03-08,83,22
2015-03-15,84,26
2015-03-22,69,27
2015-03-29,58,25
2015-04-05,73,22
2015-04-12,82,27
2015-04-19,78,24
2015-04-26,73,26
2015-05-03,77,20
2015-05-10,84,25
2015-05-17,78,25
2015-05-24,84,28
2015-05-31,71,22
2015-06-07,75,19
2015-06-14,65,22
2015-06-21,56,22
2015-06-28,57,22
2015-07-05,50,27
2015-07-12,52,25
2015-07-19,48,26
2015-07-26,56,33
2015-08-02,41,32
2015-08-09,43,32
2015-08-16,46,27
2015-08-23,44,29
2015-08-30,55,24
2015-09-06,55,26
2015-09-13,50,20
2015-09-20,58,31
2015-09-27,65,22
2015-10-04,62,21
2015-10-11,67,26
2015-10-18,64,26
2015-10-25,69,27
2015-11-01,69,23
2015-11-08,62,23
2015-11-15,62,21
2015-11-22,71,24
2015-11-29,71,27
2015-12-06,63,25
2015-12-13,66,26
2015-12-20,39,31
2015-12-27,54,27
