Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2008-01-06,70,34
2008-01-13,69,41
2008-01-20,61,32
2008-01-27,63,40
2008-02-03,54,35
2008-02-10,61,40
2008-02-17,73,47
2008-02-24,73,48
2008-03-02,69,42
2008-03-09,63,41
2008-03-16,52,39
2008-03-23,52,35
2008-03-30,74,44
2008-04-06,66,37
2008-04-13,69,44
2008-04-20,72,41
2008-04-27,67,34
2008-05-04,91,40
2008-05-11,80,47
2008-05-18,88,32
2008-05-25,100,38
2008-06-01,94,33
2008-06-08,75,31
2008-06-15,69,37
2008-06-22,60,32
2008-06-29,53,31
2008-07-06,50,35
2008-07-13,56,32
2008-07-20,34,43
2008-07-27,30,36
2008-08-03,38,42
2008-08-10,28,36
2008-08-17,37,44
2008-08-24,34,49
2008-08-31,36,40
2008-09-07,41,43
2008-09-14,53,34
2008-09-21,59,42
2008-09-28,60,36
2008-10-05,66,37
2008-10-12,57,39
2008-10-19,55,39
2008-10-26,59,40
2008-11-02,54,35
2008-11-09,63,30
2008-11-16,73,38
2008-11-23,61,34
2008-11-30,57,36
2008-12-07,54,31
2008-12-14,61,22
2008-12-21,40,26
2008-12-28,47,33
