Category: All categories

Week,Real Estate: (Portugal)
2010-01-03,94
2010-01-10,97
2010-01-17,99
2010-01-24,100
2010-01-31,98
2010-02-07,96
2010-02-14,96
2010-02-21,94
2010-02-28,92
2010-03-07,95
2010-03-14,90
2010-03-21,87
2010-03-28,85
2010-04-04,91
2010-04-11,88
2010-04-18,91
2010-04-25,83
2010-05-02,83
2010-05-09,73
2010-05-16,86
2010-05-23,79
2010-05-30,72
2010-06-06,80
2010-06-13,80
2010-06-20,74
2010-06-27,91
2010-07-04,81
2010-07-11,79
2010-07-18,76
2010-07-25,77
2010-08-01,82
2010-08-08,82
2010-08-15,95
2010-08-22,89
2010-08-29,88
2010-09-05,83
2010-09-12,89
2010-09-19,93
2010-09-26,74
2010-10-03,70
2010-10-10,74
2010-10-17,83
2010-10-24,63
2010-10-31,63
2010-11-07,66
2010-11-14,67
2010-11-21,67
2010-11-28,51
2010-12-05,60
2010-12-12,54
2010-12-19,46
2010-12-26,66
