Category: All categories

Week,Amusement park: (Portugal)
2013-01-06,20
2013-01-13,27
2013-01-20,25
2013-01-27,19
2013-02-03,0
2013-02-10,34
2013-02-17,34
2013-02-24,18
2013-03-03,14
2013-03-10,25
2013-03-17,63
2013-03-24,33
2013-03-31,28
2013-04-07,46
2013-04-14,55
2013-04-21,40
2013-04-28,36
2013-05-05,33
2013-05-12,32
2013-05-19,46
2013-05-26,41
2013-06-02,74
2013-06-09,46
2013-06-16,25
2013-06-23,12
2013-06-30,49
2013-07-07,56
2013-07-14,76
2013-07-21,82
2013-07-28,91
2013-08-04,85
2013-08-11,25
2013-08-18,57
2013-08-25,38
2013-09-01,51
2013-09-08,36
2013-09-15,40
2013-09-22,33
2013-09-29,29
2013-10-06,17
2013-10-13,13
2013-10-20,37
2013-10-27,17
2013-11-03,23
2013-11-10,36
2013-11-17,14
2013-11-24,67
2013-12-01,61
2013-12-08,26
2013-12-15,34
2013-12-22,48
2013-12-29,54
2014-01-05,29
2014-01-12,47
2014-01-19,20
2014-01-26,16
2014-02-02,36
2014-02-09,23
2014-02-16,17
2014-02-23,19
2014-03-02,48
2014-03-09,28
2014-03-16,27
2014-03-23,36
2014-03-30,38
2014-04-06,58
2014-04-13,38
2014-04-20,86
2014-04-27,45
2014-05-04,54
2014-05-11,57
2014-05-18,29
2014-05-25,41
2014-06-01,60
2014-06-08,44
2014-06-15,51
2014-06-22,68
2014-06-29,79
2014-07-06,50
2014-07-13,55
2014-07-20,68
2014-07-27,58
2014-08-03,90
2014-08-10,80
2014-08-17,81
2014-08-24,100
2014-08-31,31
2014-09-07,26
2014-09-14,55
2014-09-21,23
2014-09-28,48
2014-10-05,32
2014-10-12,32
2014-10-19,22
2014-10-26,13
2014-11-02,28
2014-11-09,20
2014-11-16,42
2014-11-23,18
2014-11-30,39
2014-12-07,27
2014-12-14,36
2014-12-21,50
2014-12-28,36
