Category: All categories

Week,Nightclub: (Portugal)
2008-01-06,40
2008-01-13,37
2008-01-20,42
2008-01-27,41
2008-02-03,53
2008-02-10,35
2008-02-17,51
2008-02-24,29
2008-03-02,29
2008-03-09,37
2008-03-16,57
2008-03-23,44
2008-03-30,35
2008-04-06,35
2008-04-13,48
2008-04-20,51
2008-04-27,40
2008-05-04,35
2008-05-11,36
2008-05-18,42
2008-05-25,29
2008-06-01,34
2008-06-08,32
2008-06-15,33
2008-06-22,31
2008-06-29,32
2008-07-06,32
2008-07-13,30
2008-07-20,39
2008-07-27,33
2008-08-03,40
2008-08-10,39
2008-08-17,52
2008-08-24,47
2008-08-31,32
2008-09-07,35
2008-09-14,31
2008-09-21,38
2008-09-28,35
2008-10-05,26
2008-10-12,30
2008-10-19,31
2008-10-26,43
2008-11-02,27
2008-11-09,35
2008-11-16,31
2008-11-23,36
2008-11-30,37
2008-12-07,37
2008-12-14,37
2008-12-21,42
2008-12-28,100
2009-01-04,26
2009-01-11,33
2009-01-18,37
2009-01-25,36
2009-02-01,41
2009-02-08,55
2009-02-15,47
2009-02-22,52
2009-03-01,37
2009-03-08,34
2009-03-15,31
2009-03-22,41
2009-03-29,32
2009-04-05,37
2009-04-12,37
2009-04-19,33
2009-04-26,40
2009-05-03,39
2009-05-10,30
2009-05-17,28
2009-05-24,35
2009-05-31,38
2009-06-07,32
2009-06-14,29
2009-06-21,35
2009-06-28,31
2009-07-05,38
2009-07-12,23
2009-07-19,36
2009-07-26,45
2009-08-02,43
2009-08-09,50
2009-08-16,35
2009-08-23,46
2009-08-30,34
2009-09-06,33
2009-09-13,32
2009-09-20,39
2009-09-27,46
2009-10-04,31
2009-10-11,33
2009-10-18,36
2009-10-25,38
2009-11-01,41
2009-11-08,33
2009-11-15,36
2009-11-22,35
2009-11-29,42
2009-12-06,30
2009-12-13,36
2009-12-20,38
2009-12-27,58
