Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2012-01-01,71,51
2012-01-08,85,56
2012-01-15,82,48
2012-01-22,80,52
2012-01-29,69,50
2012-02-05,78,48
2012-02-12,73,43
2012-02-19,64,61
2012-02-26,74,50
2012-03-04,77,48
2012-03-11,82,49
2012-03-18,80,52
2012-03-25,63,45
2012-04-01,51,40
2012-04-08,67,51
2012-04-15,89,53
2012-04-22,74,50
2012-04-29,81,48
2012-05-06,90,54
2012-05-13,96,45
2012-05-20,95,50
2012-05-27,100,49
2012-06-03,82,42
2012-06-10,77,47
2012-06-17,65,44
2012-06-24,72,42
2012-07-01,66,52
2012-07-08,60,43
2012-07-15,53,51
2012-07-22,45,45
2012-07-29,41,48
2012-08-05,42,48
2012-08-12,41,51
2012-08-19,44,59
2012-08-26,45,58
2012-09-02,46,52
2012-09-09,57,57
2012-09-16,65,53
2012-09-23,57,51
2012-09-30,53,50
2012-10-07,58,45
2012-10-14,60,47
2012-10-21,61,52
2012-10-28,63,49
2012-11-04,67,51
2012-11-11,62,47
2012-11-18,65,46
2012-11-25,71,47
2012-12-02,68,38
2012-12-09,65,35
2012-12-16,55,34
2012-12-23,62,32
2012-12-30,72,45
