Category: All categories

Week,Real Estate: (Portugal)
2009-01-04,69
2009-01-11,76
2009-01-18,73
2009-01-25,66
2009-02-01,68
2009-02-08,67
2009-02-15,65
2009-02-22,78
2009-03-01,72
2009-03-08,75
2009-03-15,79
2009-03-22,71
2009-03-29,71
2009-04-05,68
2009-04-12,71
2009-04-19,69
2009-04-26,72
2009-05-03,68
2009-05-10,74
2009-05-17,71
2009-05-24,62
2009-05-31,68
2009-06-07,63
2009-06-14,67
2009-06-21,65
2009-06-28,71
2009-07-05,72
2009-07-12,71
2009-07-19,77
2009-07-26,79
2009-08-02,82
2009-08-09,85
2009-08-16,77
2009-08-23,100
2009-08-30,83
2009-09-06,86
2009-09-13,83
2009-09-20,86
2009-09-27,75
2009-10-04,78
2009-10-11,77
2009-10-18,83
2009-10-25,74
2009-11-01,63
2009-11-08,73
2009-11-15,73
2009-11-22,67
2009-11-29,65
2009-12-06,64
2009-12-13,59
2009-12-20,41
2009-12-27,65
2010-01-03,79
2010-01-10,82
2010-01-17,82
2010-01-24,84
2010-01-31,83
2010-02-07,81
2010-02-14,79
2010-02-21,78
2010-02-28,77
2010-03-07,78
2010-03-14,77
2010-03-21,72
2010-03-28,70
2010-04-04,77
2010-04-11,75
2010-04-18,76
2010-04-25,69
2010-05-02,68
2010-05-09,61
2010-05-16,72
2010-05-23,66
2010-05-30,61
2010-06-06,69
2010-06-13,67
2010-06-20,61
2010-06-27,78
2010-07-04,68
2010-07-11,69
2010-07-18,63
2010-07-25,63
2010-08-01,68
2010-08-08,70
2010-08-15,80
2010-08-22,77
2010-08-29,74
2010-09-05,70
2010-09-12,75
2010-09-19,76
2010-09-26,64
2010-10-03,58
2010-10-10,65
2010-10-17,70
2010-10-24,54
2010-10-31,54
2010-11-07,57
2010-11-14,56
2010-11-21,57
2010-11-28,43
2010-12-05,49
2010-12-12,46
2010-12-19,38
2010-12-26,55
