Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2012-01-01,23,77
2012-01-08,26,71
2012-01-15,26,71
2012-01-22,25,70
2012-01-29,22,71
2012-02-05,25,73
2012-02-12,23,67
2012-02-19,20,67
2012-02-26,24,69
2012-03-04,24,66
2012-03-11,26,66
2012-03-18,25,66
2012-03-25,20,62
2012-04-01,16,62
2012-04-08,21,60
2012-04-15,28,60
2012-04-22,23,65
2012-04-29,25,64
2012-05-06,28,63
2012-05-13,30,63
2012-05-20,29,59
2012-05-27,31,65
2012-06-03,26,66
2012-06-10,24,64
2012-06-17,21,64
2012-06-24,22,66
2012-07-01,21,69
2012-07-08,19,75
2012-07-15,16,74
2012-07-22,14,73
2012-07-29,13,77
2012-08-05,13,80
2012-08-12,13,79
2012-08-19,14,84
2012-08-26,14,80
2012-09-02,14,81
2012-09-09,18,72
2012-09-16,20,70
2012-09-23,17,75
2012-09-30,16,76
2012-10-07,18,69
2012-10-14,19,63
2012-10-21,19,70
2012-10-28,20,71
2012-11-04,21,72
2012-11-11,19,71
2012-11-18,20,76
2012-11-25,22,75
2012-12-02,21,83
2012-12-09,21,83
2012-12-16,17,83
2012-12-23,20,100
2012-12-30,22,89
