Category: All categories

Week,ebook: (Portugal)
2015-01-04,100
2015-01-11,77
2015-01-18,87
2015-01-25,78
2015-02-01,76
2015-02-08,75
2015-02-15,67
2015-02-22,65
2015-03-01,84
2015-03-08,85
2015-03-15,73
2015-03-22,70
2015-03-29,77
2015-04-05,59
2015-04-12,78
2015-04-19,74
2015-04-26,54
2015-05-03,54
2015-05-10,76
2015-05-17,60
2015-05-24,84
2015-05-31,54
2015-06-07,64
2015-06-14,55
2015-06-21,75
2015-06-28,55
2015-07-05,49
2015-07-12,80
2015-07-19,58
2015-07-26,63
2015-08-02,49
2015-08-09,65
2015-08-16,70
2015-08-23,75
2015-08-30,60
2015-09-06,82
2015-09-13,65
2015-09-20,73
2015-09-27,81
2015-10-04,65
2015-10-11,71
2015-10-18,72
2015-10-25,77
2015-11-01,61
2015-11-08,57
2015-11-15,65
2015-11-22,50
2015-11-29,65
2015-12-06,51
2015-12-13,68
2015-12-20,74
2015-12-27,77
2016-01-03,76
2016-01-10,61
2016-01-17,61
2016-01-24,62
2016-01-31,54
2016-02-07,74
2016-02-14,66
2016-02-21,79
2016-02-28,63
2016-03-06,72
2016-03-13,53
2016-03-20,55
2016-03-27,57
2016-04-03,71
2016-04-10,55
2016-04-17,67
2016-04-24,64
2016-05-01,52
2016-05-08,50
2016-05-15,66
2016-05-22,45
2016-05-29,32
2016-06-05,48
2016-06-12,43
2016-06-19,46
2016-06-26,53
2016-07-03,64
2016-07-10,40
2016-07-17,43
2016-07-24,70
2016-07-31,71
2016-08-07,61
2016-08-14,51
2016-08-21,71
2016-08-28,45
2016-09-04,50
2016-09-11,57
2016-09-18,70
2016-09-25,56
2016-10-02,54
2016-10-09,56
2016-10-16,58
2016-10-23,52
2016-10-30,54
2016-11-06,51
2016-11-13,51
2016-11-20,52
2016-11-27,67
2016-12-04,55
2016-12-11,43
2016-12-18,49
2016-12-25,65
