Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2009-01-04,93,32
2009-01-11,78,41
2009-01-18,71,44
2009-01-25,73,39
2009-02-01,67,41
2009-02-08,72,38
2009-02-15,90,39
2009-02-22,71,39
2009-03-01,100,51
2009-03-08,88,43
2009-03-15,82,40
2009-03-22,89,37
2009-03-29,58,38
2009-04-05,60,45
2009-04-12,79,47
2009-04-19,79,42
2009-04-26,79,40
2009-05-03,82,38
2009-05-10,77,41
2009-05-17,76,41
2009-05-24,96,41
2009-05-31,77,31
2009-06-07,58,38
2009-06-14,71,31
2009-06-21,52,35
2009-06-28,53,37
2009-07-05,57,44
2009-07-12,50,37
2009-07-19,44,46
2009-07-26,44,49
2009-08-02,40,48
2009-08-09,39,47
2009-08-16,33,49
2009-08-23,35,53
2009-08-30,40,46
2009-09-06,31,41
2009-09-13,48,49
2009-09-20,49,53
2009-09-27,53,49
2009-10-04,51,47
2009-10-11,55,47
2009-10-18,63,39
2009-10-25,58,46
2009-11-01,67,46
2009-11-08,66,45
2009-11-15,70,57
2009-11-22,60,46
2009-11-29,55,50
2009-12-06,58,44
2009-12-13,61,37
2009-12-20,32,33
2009-12-27,36,40
