Category: All categories

Week,Food: (Portugal)
2015-01-04,79
2015-01-11,79
2015-01-18,80
2015-01-25,88
2015-02-01,85
2015-02-08,87
2015-02-15,73
2015-02-22,83
2015-03-01,79
2015-03-08,83
2015-03-15,91
2015-03-22,86
2015-03-29,90
2015-04-05,93
2015-04-12,91
2015-04-19,85
2015-04-26,79
2015-05-03,86
2015-05-10,87
2015-05-17,84
2015-05-24,80
2015-05-31,79
2015-06-07,82
2015-06-14,74
2015-06-21,84
2015-06-28,80
2015-07-05,79
2015-07-12,80
2015-07-19,83
2015-07-26,81
2015-08-02,77
2015-08-09,86
2015-08-16,87
2015-08-23,87
2015-08-30,84
2015-09-06,87
2015-09-13,80
2015-09-20,91
2015-09-27,89
2015-10-04,87
2015-10-11,93
2015-10-18,92
2015-10-25,93
2015-11-01,89
2015-11-08,81
2015-11-15,83
2015-11-22,84
2015-11-29,82
2015-12-06,77
2015-12-13,78
2015-12-20,66
2015-12-27,75
2016-01-03,85
2016-01-10,88
2016-01-17,88
2016-01-24,91
2016-01-31,87
2016-02-07,91
2016-02-14,84
2016-02-21,97
2016-02-28,98
2016-03-06,93
2016-03-13,84
2016-03-20,87
2016-03-27,99
2016-04-03,98
2016-04-10,100
2016-04-17,89
2016-04-24,92
2016-05-01,85
2016-05-08,96
2016-05-15,94
2016-05-22,92
2016-05-29,89
2016-06-05,88
2016-06-12,84
2016-06-19,77
2016-06-26,84
2016-07-03,87
2016-07-10,81
2016-07-17,87
2016-07-24,82
2016-07-31,77
2016-08-07,82
2016-08-14,85
2016-08-21,93
2016-08-28,84
2016-09-04,82
2016-09-11,86
2016-09-18,91
2016-09-25,87
2016-10-02,93
2016-10-09,98
2016-10-16,94
2016-10-23,91
2016-10-30,95
2016-11-06,90
2016-11-13,83
2016-11-20,83
2016-11-27,90
2016-12-04,95
2016-12-11,85
2016-12-18,74
2016-12-25,83
