Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2009-01-04,93,14
2009-01-11,78,19
2009-01-18,71,15
2009-01-25,73,16
2009-02-01,67,17
2009-02-08,72,17
2009-02-15,90,12
2009-02-22,71,14
2009-03-01,100,17
2009-03-08,88,10
2009-03-15,82,13
2009-03-22,89,14
2009-03-29,58,8
2009-04-05,60,12
2009-04-12,79,15
2009-04-19,79,10
2009-04-26,79,10
2009-05-03,82,15
2009-05-10,77,12
2009-05-17,76,11
2009-05-24,96,14
2009-05-31,77,12
2009-06-07,58,16
2009-06-14,71,11
2009-06-21,52,9
2009-06-28,53,13
2009-07-05,57,10
2009-07-12,50,8
2009-07-19,44,12
2009-07-26,44,10
2009-08-02,40,14
2009-08-09,39,10
2009-08-16,33,12
2009-08-23,35,13
2009-08-30,40,9
2009-09-06,31,17
2009-09-13,48,16
2009-09-20,49,14
2009-09-27,53,16
2009-10-04,51,20
2009-10-11,55,17
2009-10-18,63,18
2009-10-25,58,23
2009-11-01,67,20
2009-11-08,66,18
2009-11-15,70,19
2009-11-22,60,21
2009-11-29,55,13
2009-12-06,58,15
2009-12-13,61,17
2009-12-20,32,13
2009-12-27,36,16
