Category: All categories

Week,Real Estate: (Portugal)
2009-01-04,68
2009-01-11,77
2009-01-18,74
2009-01-25,66
2009-02-01,69
2009-02-08,68
2009-02-15,63
2009-02-22,79
2009-03-01,74
2009-03-08,74
2009-03-15,80
2009-03-22,72
2009-03-29,71
2009-04-05,68
2009-04-12,70
2009-04-19,71
2009-04-26,73
2009-05-03,70
2009-05-10,73
2009-05-17,72
2009-05-24,61
2009-05-31,68
2009-06-07,63
2009-06-14,68
2009-06-21,66
2009-06-28,70
2009-07-05,72
2009-07-12,70
2009-07-19,78
2009-07-26,82
2009-08-02,86
2009-08-09,85
2009-08-16,81
2009-08-23,100
2009-08-30,85
2009-09-06,88
2009-09-13,83
2009-09-20,86
2009-09-27,74
2009-10-04,77
2009-10-11,76
2009-10-18,83
2009-10-25,75
2009-11-01,65
2009-11-08,72
2009-11-15,72
2009-11-22,67
2009-11-29,66
2009-12-06,63
2009-12-13,62
2009-12-20,42
2009-12-27,66
