Category: All categories

Week,Jam: (Portugal)
2007-01-07,24
2007-01-14,12
2007-01-21,27
2007-01-28,27
2007-02-04,30
2007-02-11,39
2007-02-18,41
2007-02-25,38
2007-03-04,19
2007-03-11,42
2007-03-18,27
2007-03-25,44
2007-04-01,82
2007-04-08,28
2007-04-15,45
2007-04-22,40
2007-04-29,24
2007-05-06,22
2007-05-13,22
2007-05-20,30
2007-05-27,35
2007-06-03,38
2007-06-10,32
2007-06-17,45
2007-06-24,38
2007-07-01,23
2007-07-08,22
2007-07-15,54
2007-07-22,32
2007-07-29,25
2007-08-05,47
2007-08-12,59
2007-08-19,64
2007-08-26,48
2007-09-02,50
2007-09-09,49
2007-09-16,47
2007-09-23,50
2007-09-30,48
2007-10-07,63
2007-10-14,74
2007-10-21,64
2007-10-28,42
2007-11-04,46
2007-11-11,47
2007-11-18,56
2007-11-25,39
2007-12-02,60
2007-12-09,67
2007-12-16,100
2007-12-23,86
2007-12-30,68
