Category: All categories

Week,Novel: (Portugal)
2008-01-06,0
2008-01-13,49
2008-01-20,18
2008-01-27,60
2008-02-03,0
2008-02-10,36
2008-02-17,53
2008-02-24,43
2008-03-02,46
2008-03-09,59
2008-03-16,37
2008-03-23,38
2008-03-30,56
2008-04-06,38
2008-04-13,17
2008-04-20,40
2008-04-27,100
2008-05-04,30
2008-05-11,42
2008-05-18,55
2008-05-25,16
2008-06-01,0
2008-06-08,59
2008-06-15,39
2008-06-22,64
2008-06-29,44
2008-07-06,32
2008-07-13,0
2008-07-20,0
2008-07-27,48
2008-08-03,46
2008-08-10,51
2008-08-17,0
2008-08-24,30
2008-08-31,0
2008-09-07,0
2008-09-14,31
2008-09-21,43
2008-09-28,62
2008-10-05,32
2008-10-12,24
2008-10-19,77
2008-10-26,34
2008-11-02,0
2008-11-09,25
2008-11-16,22
2008-11-23,32
2008-11-30,33
2008-12-07,17
2008-12-14,0
2008-12-21,0
2008-12-28,14
2009-01-04,37
2009-01-11,48
2009-01-18,34
2009-01-25,61
2009-02-01,39
2009-02-08,0
2009-02-15,37
2009-02-22,23
2009-03-01,64
2009-03-08,0
2009-03-15,20
2009-03-22,81
2009-03-29,17
2009-04-05,0
2009-04-12,36
2009-04-19,21
2009-04-26,0
2009-05-03,75
2009-05-10,78
2009-05-17,29
2009-05-24,29
2009-05-31,24
2009-06-07,25
2009-06-14,19
2009-06-21,26
2009-06-28,58
2009-07-05,26
2009-07-12,0
2009-07-19,45
2009-07-26,38
2009-08-02,15
2009-08-09,0
2009-08-16,41
2009-08-23,38
2009-08-30,38
2009-09-06,32
2009-09-13,19
2009-09-20,38
2009-09-27,11
2009-10-04,50
2009-10-11,12
2009-10-18,59
2009-10-25,17
2009-11-01,24
2009-11-08,27
2009-11-15,22
2009-11-22,53
2009-11-29,0
2009-12-06,53
2009-12-13,0
2009-12-20,28
2009-12-27,43
