Category: All categories

Week,Lawyer: (Portugal)
2015-01-04,85
2015-01-11,73
2015-01-18,84
2015-01-25,81
2015-02-01,84
2015-02-08,82
2015-02-15,76
2015-02-22,88
2015-03-01,74
2015-03-08,80
2015-03-15,100
2015-03-22,90
2015-03-29,59
2015-04-05,72
2015-04-12,77
2015-04-19,86
2015-04-26,80
2015-05-03,82
2015-05-10,86
2015-05-17,97
2015-05-24,85
2015-05-31,78
2015-06-07,69
2015-06-14,82
2015-06-21,81
2015-06-28,86
2015-07-05,90
2015-07-12,83
2015-07-19,81
2015-07-26,76
2015-08-02,58
2015-08-09,61
2015-08-16,60
2015-08-23,55
2015-08-30,82
2015-09-06,76
2015-09-13,75
2015-09-20,86
2015-09-27,86
2015-10-04,67
2015-10-11,86
2015-10-18,86
2015-10-25,78
2015-11-01,78
2015-11-08,85
2015-11-15,77
2015-11-22,81
2015-11-29,91
2015-12-06,71
2015-12-13,83
2015-12-20,52
2015-12-27,59
